#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl vader,self --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:27614] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:27614] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.41 bandwidth[Mbytes/sec] = 4499.64
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.25,0,0.41,0
1,1000,0.28,3.6,0.41,2.42
2,1000,0.28,7.21,0.41,4.85
4,1000,0.28,14.42,0.41,9.68
8,1000,0.28,28.78,0.41,19.32
16,1000,0.3,53.29,0.42,38.47
32,1000,0.3,107.17,0.42,76.29
64,1000,0.34,189.2,0.43,150.04
128,1000,0.39,331.19,0.44,290.39
256,1000,0.46,560.49,0.47,545.58
512,1000,0.61,834.17,0.53,973.16
1024,1000,0.71,1436.42,0.64,1600.22
2048,1000,0.87,2344.56,0.87,2360.85
4096,1000,1.77,2318.77,1.32,3096.86
8192,1000,2.09,3925.37,2.23,3668.73
16384,1000,2.67,6141.95,4.05,4041.92
32768,1000,3.81,8623.31,7.69,4258.51
65536,640,5.44,12067.71,14.98,4375.76
131072,320,10.32,12740.36,29.54,4436.83
262144,160,19.22,13648.7,58.67,4468.01
524288,80,40.18,13056.41,116.93,4483.77
1048576,40,98.24,10677.18,233.45,4491.69
2097152,20,213.36,9841.5,466.48,4495.66
4194304,10,490.3,8556.38,932.56,4497.65
8388608,5,1522.25,5511.38,1864.7,4498.64
16777216,2,3728.58,4499.75,3728.98,4499.14
33554432,1,7483.76,4483.77,7457.56,4499.39
67108864,1,14951.07,4488.7,14914.7,4499.51
134217728,1,29864.41,4494.36,29828.99,4499.57
268435456,1,59687.42,4497.47,59657.57,4499.6
