#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --mca btl_tcp_if_include br0 --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:20489] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:20489] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6447
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.21,0,0.26,0
1,1000,0.2,4.89,0.26,3.88
2,1000,0.2,10.15,0.26,7.75
4,1000,0.2,20.34,0.26,15.49
8,1000,0.2,40.76,0.26,30.9
16,1000,0.19,82.16,0.26,61.5
32,1000,0.22,144.04,0.26,121.85
64,1000,0.22,289.2,0.27,239.17
128,1000,0.31,411.81,0.28,461.24
256,1000,0.33,786.71,0.3,860.89
512,1000,0.38,1342.43,0.34,1518.94
1024,1000,0.49,2091.72,0.42,2458.62
2048,1000,0.74,2749.52,0.58,3559.72
4096,1000,1.12,3662,0.89,4586.82
8192,1000,1.87,4384.36,1.53,5360.11
16384,1000,2.98,5494.48,2.8,5853.53
32768,1000,4.82,6802.39,5.34,6135.95
65536,640,8.21,7990.02,10.42,6287.63
131072,320,14.74,8897.18,20.59,6366.32
262144,160,13.41,19609.66,40.92,6406.41
524288,80,25.55,20599.95,81.58,6426.64
1048576,40,60.81,17264.68,162.9,6436.8
2097152,20,142.32,14746.03,325.55,6441.9
4194304,10,320.91,13078.01,650.84,6444.45
8388608,5,888.67,9442.98,1301.42,6445.72
16777216,2,2302.61,7286.78,2602.59,6446.36
33554432,1,5214.51,6434.98,5204.92,6446.68
67108864,1,10452.95,6420.15,10409.57,6446.84
134217728,1,20855.67,6435.58,20818.89,6446.92
268435456,1,41659.42,6443.61,41637.52,6446.96
