#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --mca btl_tcp_if_include br0 --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:14250] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:14250] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6448.45
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.2,0,0.26,0
1,1000,0.2,5,0.26,3.89
2,1000,0.19,10.3,0.26,7.77
4,1000,0.19,20.59,0.26,15.53
8,1000,0.19,41.47,0.26,30.98
16,1000,0.19,83.92,0.26,61.66
32,1000,0.22,142.42,0.26,122.15
64,1000,0.22,286.29,0.27,239.76
128,1000,0.31,413.19,0.28,462.34
256,1000,0.33,772.87,0.3,862.81
512,1000,0.38,1341.47,0.34,1521.98
1024,1000,0.5,2060.55,0.42,2462.71
2048,1000,0.74,2754.46,0.57,3564.22
4096,1000,1.12,3670.99,0.89,4590.92
8192,1000,1.87,4378.16,1.53,5363.41
16384,1000,2.99,5489.94,2.8,5856.09
32768,1000,4.81,6811.51,5.34,6138.01
65536,640,8.19,8001.77,10.42,6289.4
131072,320,14.81,8853.93,20.58,6367.93
262144,160,13.54,19427.42,40.91,6407.94
524288,80,26.28,20037.43,81.56,6428.13
1048576,40,61.48,17079.32,162.87,6438.27
2097152,20,144.35,14540.72,325.48,6443.36
4194304,10,322.3,13025.39,650.69,6445.9
8388608,5,890.58,9421.78,1301.13,6447.18
16777216,2,2297.67,7302.16,2602,6447.81
33554432,1,5220.9,6427.12,5203.75,6448.13
67108864,1,10440.72,6427.66,10407.23,6448.29
134217728,1,20871.46,6430.73,20814.21,6448.37
268435456,1,41649.69,6445.09,41628.16,6448.41
