#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:27317] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:06895] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.2 bandwidth[Mbytes/sec] = 12162.45
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.2,0
1,1000,0.99,1.01,1.2,0.83
2,1000,1,1.99,1.2,1.66
4,1000,1,3.99,1.2,3.32
8,1000,0.99,8.04,1.2,6.65
16,1000,1,16.04,1.2,13.28
32,1000,1.01,31.57,1.21,26.54
64,1000,1.15,55.82,1.21,52.96
128,1000,1.2,106.99,1.21,105.47
256,1000,1.55,170.18,1.22,209.12
512,1000,1.52,338.25,1.25,411.16
1024,1000,1.66,615.14,1.29,795.44
2048,1000,2.33,878.39,1.37,1493.22
4096,1000,3.18,1286.18,1.54,2659.88
8192,1000,4.47,1832.86,1.88,4365.12
16384,1000,6.28,2607.19,2.55,6424.48
32768,1000,8.45,3880.52,3.9,8407.78
65536,640,12.29,5332.55,6.59,9942.45
131072,320,18.48,7092.05,11.98,10940.97
262144,160,32.07,8175.22,22.76,11519.42
524288,80,54.98,9540.94,44.31,11832.2
1048576,40,97.62,10742.37,87.42,11995.05
2097152,20,183.15,11451.55,173.63,12078.17
4194304,10,352.76,11890,346.06,12120.16
8388608,5,692.88,12106.87,690.92,12141.27
16777216,2,1382.18,12138.21,1380.63,12151.85
33554432,1,2760.55,12155.01,2760.06,12157.14
67108864,1,5523.95,12148.73,5518.91,12159.79
134217728,1,11032.56,12165.6,11036.63,12161.12
268435456,1,22074.68,12160.34,22072.05,12161.78
