#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:22647] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:03736] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.21 bandwidth[Mbytes/sec] = 12162.98
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.21,0
1,1000,0.99,1.01,1.21,0.83
2,1000,1,1.99,1.21,1.66
4,1000,1.01,3.98,1.21,3.32
8,1000,0.99,8.05,1.21,6.63
16,1000,1,16.04,1.21,13.26
32,1000,1.01,31.55,1.21,26.49
64,1000,1.14,55.88,1.21,52.87
128,1000,1.19,107.15,1.22,105.27
256,1000,1.58,168.22,1.23,208.74
512,1000,1.53,337.26,1.25,410.43
1024,1000,1.67,612.79,1.29,794.07
2048,1000,2.33,879.03,1.37,1490.81
4096,1000,3.19,1284.14,1.54,2656.07
8192,1000,4.48,1828.16,1.88,4360.03
16384,1000,6.32,2593.71,2.55,6419.05
32768,1000,8.48,3864.76,3.9,8403.25
65536,640,12.3,5326.92,6.59,9939.46
131072,320,18.51,7081.43,11.98,10939.37
262144,160,31.99,8195.17,22.76,11518.77
524288,80,54.88,9557.63,44.31,11832.11
1048576,40,97.5,10755.14,87.42,11995.27
2097152,20,183.64,11424.94,173.63,12078.54
4194304,10,352.66,11893.31,346.05,12120.61
8388608,5,692.65,12110.91,690.89,12141.76
16777216,2,1382.17,12138.29,1380.57,12152.36
33554432,1,2760.51,12155.17,2759.94,12157.67
67108864,1,5523.73,12149.21,5518.67,12160.32
134217728,1,11033.54,12164.53,11036.14,12161.65
268435456,1,22073.69,12160.88,22071.08,12162.32
