#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:25746] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:25746] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 8.38 bandwidth[Mbytes/sec] = 3280.99
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,8.14,0,8.38,0
1,1000,8.2,0.12,8.38,0.12
2,1000,8.21,0.24,8.38,0.24
4,1000,8.21,0.49,8.38,0.48
8,1000,8.21,0.98,8.39,0.95
16,1000,8.21,1.95,8.39,1.91
32,1000,8.22,3.9,8.39,3.81
64,1000,8.24,7.77,8.4,7.62
128,1000,8.6,14.89,8.42,15.2
256,1000,8.63,29.68,8.46,30.25
512,1000,8.68,59.01,8.54,59.96
1024,1000,9.75,104.99,8.7,117.76
2048,1000,9.21,222.31,9.01,227.36
4096,1000,11.05,370.87,9.63,425.26
8192,1000,11.76,696.99,10.88,752.93
16384,1000,15.85,1033.52,13.38,1224.79
32768,1000,26.11,1255.27,18.37,1783.71
65536,640,57.73,1135.36,28.36,2311.03
131072,320,82.07,1597.31,48.33,2711.89
262144,160,123.97,2114.72,88.28,2969.42
524288,80,197.77,2651.06,168.18,3117.44
1048576,40,330.19,3175.71,327.98,3197.12
2097152,20,625.72,3351.67,647.57,3238.51
4194304,10,1234.67,3397.25,1286.75,3259.61
8388608,5,2448.47,3426.25,2565.12,3270.26
16777216,2,5062.48,3314.11,5121.85,3275.62
33554432,1,10369.41,3236.24,10235.32,3278.3
67108864,1,20460.35,3280.65,20462.25,3279.64
134217728,1,40829.48,3288.23,40916.13,3280.31
268435456,1,81914.94,3278.55,81823.87,3280.65
