#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl vader,self --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:23347] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:23347] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.92 bandwidth[Mbytes/sec] = 3936.72
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.54,0,0.92,0
1,1000,0.61,1.64,0.92,1.09
2,1000,0.61,3.27,0.92,2.18
4,1000,0.61,6.52,0.92,4.35
8,1000,0.61,13.1,0.92,8.7
16,1000,0.66,24.4,0.92,17.35
32,1000,0.74,43.33,0.93,34.56
64,1000,0.87,73.75,0.93,68.51
128,1000,1.01,126.69,0.95,134.68
256,1000,1.18,217.46,0.98,260.46
512,1000,1.13,457.33,1.05,488.59
1024,1000,1.43,717.4,1.18,869.29
2048,1000,1.75,1170.48,1.44,1424.11
4096,1000,2.76,1487.82,1.96,2091.59
8192,1000,3.28,2498.49,3,2731.78
16384,1000,3.61,4540.56,5.08,3225.39
32768,1000,4.93,6654.4,9.24,3545.73
65536,640,6.38,10299.57,17.57,3731.01
131072,320,11.25,11677.12,34.21,3831.11
262144,160,19.71,13313.42,67.51,3883.2
524288,80,40.04,13106.48,134.1,3909.78
1048576,40,95.35,11000.97,267.28,3923.2
2097152,20,214.2,9794.46,533.63,3929.95
4194304,10,408.67,10264.21,1066.35,3933.34
8388608,5,896.69,9356.14,2131.78,3935.03
16777216,2,3240.98,5176.9,4262.64,3935.88
33554432,1,8471.01,3961.21,8524.36,3936.3
67108864,1,17062.92,3933.1,17047.8,3936.51
134217728,1,34108.86,3935.1,34094.68,3936.62
268435456,1,68159.32,3938.49,68188.44,3936.67
