#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl tcp,self --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:31715] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:31715] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.66 bandwidth[Mbytes/sec] = 5602.35
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.41,0,0.66,0
1,1000,0.4,2.49,0.66,1.51
2,1000,0.4,5.01,0.66,3.01
4,1000,0.4,9.97,0.66,6.03
8,1000,0.4,19.91,0.66,12.04
16,1000,0.4,39.95,0.67,24.02
32,1000,0.56,56.92,0.67,47.84
64,1000,0.56,114.7,0.67,94.88
128,1000,0.87,146.8,0.69,186.6
256,1000,0.92,278.06,0.71,361.16
512,1000,1.13,453.54,0.75,678.58
1024,1000,1.32,779.26,0.85,1210.53
2048,1000,2.1,976.41,1.03,1990.88
4096,1000,3.01,1360.22,1.39,2937.78
8192,1000,4.79,1709.65,2.13,3854.38
16384,1000,7.45,2201.93,3.59,4566.82
32768,1000,13.02,2520.59,6.51,5031.86
65536,640,23.68,2770.78,12.36,5301.8
131072,320,43.17,3039.29,24.06,5447.93
262144,160,13.95,18851.17,47.45,5524.06
524288,80,25.19,20921.16,94.25,5562.93
1048576,40,57.1,18413.52,187.83,5582.57
2097152,20,141.9,14791.55,375,5592.44
4194304,10,297.27,14112.73,749.33,5597.39
8388608,5,618.1,13574.07,1498,5599.87
16777216,2,1918.32,8748.29,2995.34,5601.11
33554432,1,5554.09,6042.3,5990.02,5601.73
67108864,1,11922.33,5629.22,11979.37,5602.04
134217728,1,23835.45,5631.3,23958.07,5602.19
268435456,1,47617.14,5637.7,47915.48,5602.27
