#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:08105] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:08105] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 8.19 bandwidth[Mbytes/sec] = 3294.78
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,7.94,0,8.19,0
1,1000,8,0.13,8.19,0.12
2,1000,8.01,0.25,8.19,0.24
4,1000,8.01,0.5,8.19,0.49
8,1000,8,1,8.19,0.98
16,1000,8.01,2,8.19,1.95
32,1000,8.01,4,8.2,3.9
64,1000,8.03,7.97,8.21,7.8
128,1000,8.43,15.18,8.23,15.56
256,1000,8.46,30.27,8.27,30.97
512,1000,8.51,60.2,8.34,61.37
1024,1000,9.51,107.68,8.5,120.49
2048,1000,9.03,226.8,8.81,232.49
4096,1000,10.79,379.75,9.43,434.33
8192,1000,11.56,708.68,10.67,767.48
16384,1000,15.53,1055.11,13.16,1244.97
32768,1000,25.83,1268.77,18.13,1807.1
65536,640,56.48,1160.36,28.08,2334.04
131072,320,77.38,1694.11,47.97,2732.42
262144,160,111.53,2350.56,87.75,2987.37
524288,80,172.9,3032.5,167.31,3133.55
1048576,40,307.29,3412.45,326.44,3212.15
2097152,20,600.12,3494.65,644.69,3252.94
4194304,10,1225.41,3422.94,1281.2,3273.73
8388608,5,2421.91,3463.79,2554.21,3284.22
16777216,2,5041.76,3327.72,5100.24,3289.49
33554432,1,10321.33,3251.12,10192.3,3292.14
67108864,1,20390.84,3291.51,20376.4,3293.46
134217728,1,40731.19,3296.07,40744.62,3294.12
268435456,1,81571.28,3291.8,81481.05,3294.45
