#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --mca btl_tcp_if_include br0 --map-by socket -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:10603] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode007:10603] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#header_line 3: latency[usec] = 0.67 bandwidth[Mbytes/sec] = 5616.78
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.4,0,0.67,0
1,1000,0.4,2.51,0.67,1.5
2,1000,0.4,5.06,0.67,2.99
4,1000,0.4,10.08,0.67,5.98
8,1000,0.4,20.14,0.67,11.95
16,1000,0.4,40.26,0.67,23.84
32,1000,0.56,56.93,0.67,47.48
64,1000,0.56,114.44,0.68,94.17
128,1000,0.89,143.85,0.69,185.23
256,1000,0.94,271.35,0.71,358.64
512,1000,1.15,446.98,0.76,674.22
1024,1000,1.32,775.7,0.85,1203.93
2048,1000,2.1,974.37,1.03,1982.85
4096,1000,3.02,1355.89,1.4,2930.99
8192,1000,4.79,1709.32,2.13,3851.93
16384,1000,7.4,2216.71,3.59,4569.88
32768,1000,13.03,2519.48,6.5,5039.54
65536,640,23.7,2768.92,12.34,5312.52
131072,320,43.86,2995.1,24,5460.42
262144,160,14.17,18569.81,47.34,5537.49
524288,80,25.91,20344.03,94.01,5576.85
1048576,40,58.4,17996.96,187.35,5596.75
2097152,20,143.99,14575.51,374.04,5606.74
4194304,10,300.21,13974.2,747.41,5611.76
8388608,5,621.03,13509.45,1494.16,5614.27
16777216,2,1916.33,8756.77,2987.65,5615.52
33554432,1,5539.05,6058.83,5974.63,5616.15
67108864,1,11876.9,5650.71,11948.6,5616.46
134217728,1,23767.57,5647.24,23896.52,5616.62
268435456,1,47488.6,5652.8,47792.38,5616.7
