1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10293767700,4.10249364500,3.81848127600,3.98768287300,Residual,74089999.9415,MLUPs,2526.96989723
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10026352800,4.10024339300,3.81900789300,3.98746220000,Residual,12333333.3332,MLUPs,2528.61796058
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10079327400,4.10076017000,3.81876255700,3.98788597100,Residual,2626543.20907,MLUPs,2528.29131030
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10225625300,4.10221755900,3.81933278900,3.98937358700,Residual,780349.794049,MLUPs,2527.38965110
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10254841100,4.10252638300,3.81880795100,3.98947950000,Residual,319594.478736,MLUPs,2527.20966612
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10402111600,4.10400009400,3.81945826800,3.99106681500,Residual,164663.166441,MLUPs,2526.30279108
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10484571300,4.10482995600,3.81955236400,3.99226855600,Residual,98012.9931205,MLUPs,2525.79529778
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10669886000,4.10667658800,3.82115434800,3.99391600100,Residual,63999.1651062,MLUPs,2524.65553318
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10738762200,4.10736324800,3.82042994900,3.99335644700,Residual,44537.2903721,MLUPs,2524.23217728
4,Maxtime,Mintime,+,JacobiMi,JacobiMa,4.10528378500,4.10525359400,3.82081812900,3.99237916200,Residual,32474.8375327,MLUPs,2525.52577190
