NDIM,NUMPOINTS,numproc,MPI TIME,sending_time,building_time,receiving_time
5,1073741823,16,292.927,165.262,114.068,13.5964
5,134217727,16,34.2078,20.3368,12.0835,1.78753
5,268435455,16,69.8763,40.9584,25.4503,3.4676
5,536870911,16,142.364,81.8918,53.6402,6.83171
5,1073741823,2,1067.74,83.5752,976.127,8.03501
5,134217727,2,118.78,10.4306,107.63,0.718807
5,268435455,2,248.151,21.0199,225.497,1.63364
5,536870911,2,517.518,42.3423,472.469,2.70706
5,1073741823,32,278.186,199.42,62.9575,15.8088
5,134217727,32,31.5279,21.2506,5.86804,4.4092
5,268435455,32,64.0647,42.3815,12.3784,9.30479
5,536870911,32,134.225,93.4592,30.0865,10.6793
5,1073741823,4,604.501,125.034,467.146,12.3213
5,134217727,4,68.2709,15.7,51.2846,1.28636
5,268435455,4,141.458,31.3256,106.966,3.16587
5,536870911,4,290.703,62.5826,223.749,4.37137
5,1073741823,8,386.299,148.333,227.623,10.3424
5,134217727,8,44.6762,18.4667,24.5549,1.6546
5,268435455,8,91.2439,36.7107,51.3825,3.15079
5,536870911,8,187.492,73.8189,108.134,5.53853
