NDIM,NUMPOINTS,threads,OMP.TIME,depth,leaf_task
2,1073741823,16,228.721,13,8192
3,1073741823,16,241.617,11,2048
4,1073741823,16,253.028,12,4096
5,1073741823,16,275.699,10,1024
2,134217727,16,27.4401,9,512
3,134217727,16,28.1369,10,1024
4,134217727,16,29.2655,11,2048
5,134217727,16,32.5084,8,256
2,268435455,16,53.2884,14,16384
3,268435455,16,57.5612,8,256
4,268435455,16,60.9729,8,256
5,268435455,16,66.676,10,1024
2,536870911,16,109.516,11,2048
3,536870911,16,117.79,13,8192
4,536870911,16,124.3,10,1024
5,536870911,16,134.758,15,32768
2,1073741823,2,952.994,4,16
3,1073741823,2,989.369,1,2
4,1073741823,2,982.513,5,32
5,1073741823,2,1080.12,3,8
2,134217727,2,105.22,6,64
3,134217727,2,105.232,6,64
4,134217727,2,108.875,11,2048
5,134217727,2,119.168,1,2
2,268435455,2,212.883,5,32
3,268435455,2,220.116,7,128
4,268435455,2,227.263,6,64
5,268435455,2,248.493,1,2
2,536870911,2,462.966,7,128
3,536870911,2,457.638,1,2
4,536870911,2,474.362,3,8
5,536870911,2,518.883,3,8
2,1073741823,32,184.297,15,32768
3,1073741823,32,197.886,15,32768
4,1073741823,32,209.339,15,32768
5,1073741823,32,232.01,8,256
2,134217727,32,22.4776,15,32768
3,134217727,32,23.2893,15,32768
4,134217727,32,24.7563,12,4096
5,134217727,32,27.2622,10,1024
2,268435455,32,43.3827,14,16384
3,268435455,32,47.4416,15,32768
4,268435455,32,50.6892,12,4096
5,268435455,32,56.1353,13,8192
2,536870911,32,88.6286,15,32768
3,536870911,32,96.5093,11,2048
4,536870911,32,102.617,10,1024
5,536870911,32,114.764,15,32768
2,1073741823,4,550.598,12,4096
3,1073741823,4,559.853,9,512
4,1073741823,4,564.1,15,32768
5,1073741823,4,617.156,15,32768
2,134217727,4,61.5358,7,128
3,134217727,4,61.5356,14,16384
4,134217727,4,63.6939,13,8192
5,134217727,4,70.022,9,512
2,268435455,4,123.487,11,2048
3,268435455,4,127.785,11,2048
4,268435455,4,132.035,15,32768
5,268435455,4,143.822,10,1024
2,536870911,4,258.848,10,1024
3,536870911,4,265.296,8,256
4,536870911,4,272.794,13,8192
5,536870911,4,298.695,9,512
2,1073741823,8,335.09,12,4096
3,1073741823,8,340.688,14,16384
4,1073741823,8,352.557,12,4096
5,1073741823,8,385.849,12,4096
2,134217727,8,38.2013,12,4096
3,134217727,8,39.0766,10,1024
4,134217727,8,40.4712,14,16384
5,134217727,8,43.9422,8,256
2,268435455,8,76.0476,9,512
3,268435455,8,79.4842,13,8192
4,268435455,8,82.8944,14,16384
5,268435455,8,91.0495,14,16384
2,536870911,8,158.018,15,32768
3,536870911,8,163.995,14,16384
4,536870911,8,170.735,14,16384
5,536870911,8,187.984,15,32768
