NDIM,NUMPOINTS,threads,OMP.TIME,depth,leaf_task
2,1073741823,16,242.414,13,8192
2,1073741823,16,254.564,15,32768
2,1073741823,16,284.239,9,512
3,1073741823,16,291.529,14,16384
3,1073741823,16,291.013,12,4096
3,1073741823,16,294.489,15,32768
4,1073741823,16,310.451,14,16384
4,1073741823,16,307.795,15,32768
4,1073741823,16,308.117,13,8192
5,1073741823,16,342.219,13,8192
5,1073741823,16,336.532,12,4096
5,1073741823,16,334.225,15,32768
2,134217727,16,28.781,13,8192
2,134217727,16,28.4049,15,32768
2,134217727,16,28.5268,9,512
3,134217727,16,33.5238,13,8192
3,134217727,16,33.8609,12,4096
3,134217727,16,33.9364,11,2048
4,134217727,16,36.0215,11,2048
4,134217727,16,36.15,10,1024
4,134217727,16,35.3767,13,8192
5,134217727,16,38.5365,14,16384
5,134217727,16,38.9274,8,256
5,134217727,16,39.2945,15,32768
2,268435455,16,58.4186,14,16384
2,268435455,16,58.4504,15,32768
2,268435455,16,58.0396,13,8192
3,268435455,16,69.6883,14,16384
3,268435455,16,69.2312,10,1024
3,268435455,16,69.6843,15,32768
4,268435455,16,73.7871,9,512
4,268435455,16,73.8091,8,256
4,268435455,16,73.3997,12,4096
5,268435455,16,81.6359,14,16384
5,268435455,16,80.8103,15,32768
5,268435455,16,81.7891,13,8192
2,536870911,16,118.645,11,2048
2,536870911,16,120.565,12,4096
2,536870911,16,120.195,14,16384
3,536870911,16,142.976,10,1024
3,536870911,16,143.06,12,4096
3,536870911,16,143.092,14,16384
4,536870911,16,149.995,13,8192
4,536870911,16,151.658,12,4096
4,536870911,16,151.41,14,16384
5,536870911,16,163.527,13,8192
5,536870911,16,165.796,15,32768
5,536870911,16,165.596,14,16384
2,1073741823,2,942.886,2,4
2,1073741823,2,943.37,13,8192
2,1073741823,2,943.687,7,128
3,1073741823,2,1146.97,5,32
3,1073741823,2,1149.37,6,64
3,1073741823,2,1145.94,1,2
4,1073741823,2,1124.22,1,2
4,1073741823,2,1126.48,15,32768
4,1073741823,2,1125.82,14,16384
5,1073741823,2,1212.69,14,16384
5,1073741823,2,1218.31,8,256
5,1073741823,2,1214.16,6,64
2,134217727,2,105.295,11,2048
2,134217727,2,105.485,1,2
2,134217727,2,105.333,6,64
3,134217727,2,120.487,11,2048
3,134217727,2,122.305,2,4
3,134217727,2,123.067,7,128
4,134217727,2,123.952,1,2
4,134217727,2,123.925,2,4
4,134217727,2,123.59,6,64
5,134217727,2,129.73,1,2
5,134217727,2,130.256,2,4
5,134217727,2,130.251,6,64
2,268435455,2,217.442,1,2
2,268435455,2,222.198,2,4
2,268435455,2,223.589,5,32
3,268435455,2,250.858,8,256
3,268435455,2,250.8,5,32
3,268435455,2,250.678,6,64
4,268435455,2,257.853,14,16384
4,268435455,2,257.689,12,4096
4,268435455,2,257.723,15,32768
5,268435455,2,272.175,2,4
5,268435455,2,272.65,0,1
5,268435455,2,272.555,1,2
2,536870911,2,456.878,1,2
2,536870911,2,456.833,0,1
2,536870911,2,457.037,2,4
3,536870911,2,535.167,1,2
3,536870911,2,535.536,15,32768
3,536870911,2,535.58,5,32
4,536870911,2,539.666,2,4
4,536870911,2,538.413,13,8192
4,536870911,2,538.133,5,32
5,536870911,2,570.02,2,4
5,536870911,2,570.854,5,32
5,536870911,2,571.584,11,2048
2,1073741823,32,205.277,12,4096
2,1073741823,32,204.33,11,2048
2,1073741823,32,202.374,10,1024
3,1073741823,32,249.555,15,32768
3,1073741823,32,246.01,9,512
3,1073741823,32,250.294,13,8192
4,1073741823,32,262.945,10,1024
4,1073741823,32,272.626,11,2048
4,1073741823,32,274.365,13,8192
5,1073741823,32,287.865,8,256
5,1073741823,32,294.758,11,2048
5,1073741823,32,299.491,13,8192
2,134217727,32,24.1056,9,512
2,134217727,32,24.1352,11,2048
2,134217727,32,23.9358,15,32768
3,134217727,32,28.9108,13,8192
3,134217727,32,28.7396,12,4096
3,134217727,32,28.7782,15,32768
4,134217727,32,30.7891,9,512
4,134217727,32,31.2827,15,32768
4,134217727,32,31.4046,12,4096
5,134217727,32,33.3687,8,256
5,134217727,32,35.0849,14,16384
5,134217727,32,34.8006,13,8192
2,268435455,32,48.9016,13,8192
2,268435455,32,48.9783,11,2048
2,268435455,32,48.7869,14,16384
3,268435455,32,59.3683,15,32768
3,268435455,32,59.927,14,16384
3,268435455,32,59.157,9,512
4,268435455,32,63.9254,9,512
4,268435455,32,64.9978,11,2048
4,268435455,32,65.6691,15,32768
5,268435455,32,68.9457,9,512
5,268435455,32,71.3329,14,16384
5,268435455,32,72.5129,12,4096
2,536870911,32,99.8141,10,1024
2,536870911,32,99.9356,13,8192
2,536870911,32,100.49,9,512
3,536870911,32,121.033,15,32768
3,536870911,32,122.295,14,16384
3,536870911,32,121.005,8,256
4,536870911,32,129.693,10,1024
4,536870911,32,133.555,12,4096
4,536870911,32,130.731,9,512
5,536870911,32,145.611,13,8192
5,536870911,32,147.97,15,32768
5,536870911,32,141.456,8,256
2,1073741823,4,548.27,10,1024
2,1073741823,4,547.894,12,4096
2,1073741823,4,553.111,7,128
3,1073741823,4,652.592,7,128
3,1073741823,4,650.845,9,512
3,1073741823,4,655.132,8,256
4,1073741823,4,657.358,13,8192
4,1073741823,4,654.088,15,32768
4,1073741823,4,656.58,8,256
5,1073741823,4,695.532,12,4096
5,1073741823,4,695.876,14,16384
5,1073741823,4,695.418,9,512
2,134217727,4,61.3797,9,512
2,134217727,4,61.2826,8,256
2,134217727,4,61.9464,11,2048
3,134217727,4,71.1873,15,32768
3,134217727,4,71.3908,10,1024
3,134217727,4,71.2908,14,16384
4,134217727,4,72.8553,14,16384
4,134217727,4,73.2833,12,4096
4,134217727,4,73.3216,15,32768
5,134217727,4,76.7326,12,4096
5,134217727,4,77.2453,7,128
5,134217727,4,76.9975,11,2048
2,268435455,4,128.989,9,512
2,268435455,4,128.332,12,4096
2,268435455,4,128.111,15,32768
3,268435455,4,146.94,15,32768
3,268435455,4,147.081,9,512
3,268435455,4,146.762,10,1024
4,268435455,4,152.27,15,32768
4,268435455,4,153.423,13,8192
4,268435455,4,153.747,10,1024
5,268435455,4,161.864,11,2048
5,268435455,4,161.468,15,32768
5,268435455,4,160.712,9,512
2,536870911,4,263.783,15,32768
2,536870911,4,265.022,8,256
2,536870911,4,263.787,14,16384
3,536870911,4,309.27,15,32768
3,536870911,4,311.323,12,4096
3,536870911,4,310.676,13,8192
4,536870911,4,318.261,10,1024
4,536870911,4,319.672,9,512
4,536870911,4,318.253,11,2048
5,536870911,4,332.909,15,32768
5,536870911,4,336.163,12,4096
5,536870911,4,336.432,9,512
2,1073741823,8,337.681,14,16384
2,1073741823,8,339.666,15,32768
2,1073741823,8,339.393,13,8192
3,1073741823,8,406.104,8,256
3,1073741823,8,408.168,11,2048
3,1073741823,8,404.873,14,16384
4,1073741823,8,413.876,10,1024
4,1073741823,8,419.394,11,2048
4,1073741823,8,414.412,8,256
5,1073741823,8,446.947,14,16384
5,1073741823,8,451.114,12,4096
5,1073741823,8,449.927,15,32768
2,134217727,8,39.3382,11,2048
2,134217727,8,39.1449,10,1024
2,134217727,8,39.1861,9,512
3,134217727,8,45.1727,14,16384
3,134217727,8,45.2528,12,4096
3,134217727,8,45.2016,15,32768
4,134217727,8,47.4949,14,16384
4,134217727,8,47.4558,7,128
4,134217727,8,47.5586,9,512
