NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
5,4194303,22,0,0.367814,0,0.0735628,0
5,4194303,22,1,0.366268,0,0.146816,0
5,4194303,22,2,0.368076,0,0.220432,0
5,4194303,22,3,0.368103,0,0.294052,0
5,4194303,22,4,0.36893,5.81142,0.367838,15.7988
5,8388607,23,0,0.735149,0,0.882707,0
5,8388607,23,1,0.737024,0,1.03011,0
5,8388607,23,2,0.734894,0,1.17709,0
5,8388607,23,3,0.741116,0,1.32531,0
5,8388607,23,4,0.74336,12.3504,1.47399,8.37889
5,16777215,24,0,1.4896,0,3.24589,0
5,16777215,24,1,1.48791,0,3.54347,0
5,16777215,24,2,1.49275,0,3.84202,0
5,16777215,24,3,1.49866,0,4.14176,0
5,16777215,24,4,1.49466,26.1182,4.44069,5.88158
5,33554431,25,0,2.99366,0,9.48011,0
5,33554431,25,1,2.99906,0,10.0799,0
5,33554431,25,2,3.02096,0,10.6841,0
5,33554431,25,3,3.02301,0,11.2887,0
5,33554431,25,4,3.02113,55.2564,11.8929,4.64615
5,67108863,26,0,6.07083,0,25,0
5,67108863,26,1,6.07563,0,26.2152,0
5,67108863,26,2,6.08117,0,27.4314,0
5,67108863,26,3,6.07566,0,28.6465,0
5,67108863,26,4,6.07951,115.855,29.8624,3.87963
5,134217727,27,0,12.1617,0,62.1572,0
5,134217727,27,1,12.1748,0,64.5922,0
5,134217727,27,2,12.2381,0,67.0398,0
5,134217727,27,3,12.2339,0,69.4865,0
5,134217727,27,4,12.2486,243.981,71.9363,3.39162
5,268435455,28,0,24.4852,0,148.77,0
5,268435455,28,1,24.4855,0,153.667,0
5,268435455,28,2,24.6258,0,158.592,0
5,268435455,28,3,24.6261,0,163.517,0
5,268435455,28,4,24.6191,512.37,168.441,3.04184
5,536870911,29,0,49.5613,0,346.794,0
5,536870911,29,1,49.3671,0,356.667,0
5,536870911,29,2,49.6834,0,366.604,0
5,536870911,29,3,49.6112,0,376.526,0
5,536870911,29,4,49.5052,1074.15,386.427,2.7797
5,1073741823,30,0,99.2024,0,792.695,0
5,1073741823,30,1,99.3685,0,812.569,0
5,1073741823,30,2,99.6404,0,832.497,0
5,1073741823,30,3,99.7429,0,852.446,0
5,1073741823,30,4,99.7076,2247.31,872.387,2.57605
5,2147483647,31,0,215.319,0,1787.84,0
