NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
5,3,2,0,0,3e-06,0,inf
5,3,2,1,0,0,0,-nan
5,3,2,2,0,0,0,-nan
5,3,2,3,0,0,0,-nan
5,3,2,4,0,0,0,-nan
5,7,3,0,0,0,0,-nan
5,7,3,1,0,0,0,-nan
5,7,3,2,0,0,0,-nan
5,7,3,3,0,0,0,-nan
5,7,3,4,0,0,0,-nan
5,15,4,0,8e-08,1e-06,1.6e-08,62.5
5,15,4,1,0,8e-06,1.6e-08,500
5,15,4,2,0,1e-06,1.6e-08,62.5
5,15,4,3,1e-08,1e-06,1.8e-08,55.5556
5,15,4,4,0,1e-06,1.8e-08,55.5556
5,31,5,0,1e-06,4e-06,2.36e-07,16.9492
5,31,5,1,9.4e-07,4e-06,4.24e-07,9.43396
5,31,5,2,9.3e-07,5e-06,6.1e-07,8.19672
5,31,5,3,8.8e-07,5e-06,7.86e-07,6.36132
5,31,5,4,8.8e-07,3e-06,9.62e-07,3.1185
5,63,6,0,3.32e-06,1.3e-05,2.588e-06,5.02318
5,63,6,1,3.11e-06,1.3e-05,3.21e-06,4.04984
5,63,6,2,2.95e-06,1.3e-05,3.8e-06,3.42105
5,63,6,3,3.05e-06,1.5e-05,4.41e-06,3.40136
5,63,6,4,2.99e-06,1.4e-05,5.008e-06,2.79553
5,127,7,0,7.5e-06,3.1e-05,1.1516e-05,2.69191
5,127,7,1,7.29e-06,3.7e-05,1.2974e-05,2.85186
5,127,7,2,7.37e-06,3.2e-05,1.4448e-05,2.21484
5,127,7,3,7.48e-06,3.5e-05,1.5944e-05,2.19518
5,127,7,4,7.22e-06,3.7e-05,1.7388e-05,2.1279
5,255,8,0,1.568e-05,9e-05,3.7912e-05,2.37392
5,255,8,1,1.628e-05,9.1e-05,4.1168e-05,2.21045
5,255,8,2,1.63e-05,8.8e-05,4.4428e-05,1.98073
5,255,8,3,1.628e-05,8.5e-05,4.7684e-05,1.78257
5,255,8,4,1.633e-05,8.6e-05,5.095e-05,1.68793
5,511,9,0,3.361e-05,0.0002,0.000108622,1.84125
5,511,9,1,3.372e-05,0.000204,0.000115366,1.76829
5,511,9,2,3.374e-05,0.000206,0.000122114,1.68695
5,511,9,3,3.301e-05,0.000204,0.000128716,1.58488
5,511,9,4,3.257e-05,0.000185,0.00013523,1.36804
5,1023,10,0,6.74e-05,0.000483,0.00028394,1.70106
5,1023,10,1,6.795e-05,0.000493,0.00029753,1.65698
5,1023,10,2,6.778e-05,0.000487,0.000311086,1.56548
5,1023,10,3,6.759e-05,0.000491,0.000324604,1.51261
5,1023,10,4,6.675e-05,0.000499,0.000337954,1.47653
5,2047,11,0,0.00013765,0.001096,0.000703438,1.55806
5,2047,11,1,0.00013616,0.001105,0.00073067,1.51231
5,2047,11,2,0.0001384,0.001106,0.00075835,1.45843
5,2047,11,3,0.00013646,0.001103,0.000785642,1.40395
5,2047,11,4,0.00013701,0.001049,0.000813044,1.29021
5,4095,12,0,0.00027681,0.00246,0.00168145,1.46302
5,4095,12,1,0.00027609,0.002457,0.00173667,1.41478
5,4095,12,2,0.00027551,0.002484,0.00179177,1.38634
5,4095,12,3,0.00027802,0.002477,0.00184737,1.34082
5,4095,12,4,0.00027568,0.002495,0.00190251,1.31143
5,8191,13,0,0.00054456,0.005552,0.00391393,1.41852
5,8191,13,1,0.00054999,0.005496,0.00402393,1.36583
5,8191,13,2,0.00055436,0.005188,0.0041348,1.25472
5,8191,13,3,0.00054757,0.005465,0.00424432,1.2876
5,8191,13,4,0.00054522,0.005427,0.00435336,1.24662
5,16383,14,0,0.00109008,0.012108,0.00892474,1.35668
5,16383,14,1,0.00110894,0.012078,0.00914652,1.3205
5,16383,14,2,0.00110501,0.01211,0.00936753,1.29276
5,16383,14,3,0.00108994,0.012065,0.00958551,1.25867
5,16383,14,4,0.00109978,0.012194,0.00980547,1.24359
5,32767,15,0,0.00220671,0.026432,0.0200523,1.31815
5,32767,15,1,0.00218856,0.026477,0.02049,1.29219
