NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
4,3,2,0,0,2e-06,0,inf
4,3,2,1,0,0,0,-nan
4,3,2,2,0,0,0,-nan
4,3,2,3,0,0,0,-nan
4,7,3,0,0,0,0,-nan
4,7,3,1,0,0,0,-nan
4,7,3,2,0,0,0,-nan
4,7,3,3,0,0,0,-nan
4,15,4,0,5e-08,1e-06,1.25e-08,80
4,15,4,1,0,1e-06,1.25e-08,80
4,15,4,2,0,1e-06,1.25e-08,80
4,15,4,3,0,1e-06,1.25e-08,80
4,31,5,0,9.3e-07,4e-06,2.575e-07,15.534
4,31,5,1,9.3e-07,5e-06,4.9e-07,10.2041
4,31,5,2,9e-07,5e-06,7.15e-07,6.99301
4,31,5,3,8.9e-07,4e-06,9.375e-07,4.26667
4,63,6,0,3e-06,1.2e-05,2.625e-06,4.57143
4,63,6,1,2.83e-06,1.3e-05,3.3325e-06,3.90098
4,63,6,2,2.87e-06,1.3e-05,4.05e-06,3.20988
4,63,6,3,2.91e-06,1.1e-05,4.7775e-06,2.30246
4,127,7,0,6.95e-06,3.4e-05,1.12925e-05,3.01085
4,127,7,1,6.89e-06,3.2e-05,1.3015e-05,2.4587
4,127,7,2,6.92e-06,3.3e-05,1.4745e-05,2.23805
4,127,7,3,6.79e-06,3.3e-05,1.64425e-05,2.00699
4,255,8,0,1.483e-05,8.1e-05,3.65925e-05,2.21357
4,255,8,1,1.514e-05,8.1e-05,4.03775e-05,2.00607
4,255,8,2,1.538e-05,8.1e-05,4.42225e-05,1.83165
4,255,8,3,1.518e-05,8e-05,4.80175e-05,1.66606
4,511,9,0,3.153e-05,0.000205,0.000103918,1.97272
4,511,9,1,3.164e-05,0.000193,0.000111827,1.72587
4,511,9,2,3.194e-05,0.000189,0.000119813,1.57746
4,511,9,3,3.2e-05,0.000195,0.000127812,1.52567
4,1023,10,0,6.473e-05,0.000459,0.000271807,1.6887
4,1023,10,1,6.502e-05,0.000444,0.000288063,1.54133
4,1023,10,2,6.56e-05,0.000452,0.000304462,1.48458
4,1023,10,3,6.492e-05,0.000451,0.000320693,1.40633
4,2047,11,0,0.00012947,0.001039,0.000673753,1.54211
4,2047,11,1,0.00012898,0.001011,0.000705997,1.43202
4,2047,11,2,0.0001309,0.000996,0.000738723,1.34827
4,2047,11,3,0.00012879,0.001016,0.00077092,1.31791
4,4095,12,0,0.00026041,0.002331,0.00160694,1.45058
4,4095,12,1,0.00026114,0.002292,0.00167223,1.37063
4,4095,12,2,0.00025865,0.002287,0.00173689,1.31672
4,4095,12,3,0.00026146,0.002249,0.00180226,1.24788
4,8191,13,0,0.00052368,0.004998,0.00373543,1.338
4,8191,13,1,0.00051673,0.005188,0.00386461,1.34244
4,8191,13,2,0.00051871,0.0052,0.00399429,1.30186
4,8191,13,3,0.00051551,0.005148,0.00412317,1.24855
4,16383,14,0,0.00102908,0.011398,0.00850361,1.34037
4,16383,14,1,0.00104411,0.011312,0.00876463,1.29064
4,16383,14,2,0.00104081,0.011348,0.00902484,1.25742
4,16383,14,3,0.00103406,0.011326,0.00928335,1.22003
4,32767,15,0,0.00207771,0.024691,0.0190861,1.29366
4,32767,15,1,0.00208258,0.024567,0.0196068,1.25299
4,32767,15,2,0.0020813,0.024753,0.0201271,1.22983
4,32767,15,3,0.00208404,0.024831,0.0206481,1.20258
4,65535,16,0,0.00417039,0.054039,0.0423388,1.27635
4,65535,16,1,0.00414612,0.053868,0.0433753,1.2419
4,65535,16,2,0.00415802,0.053859,0.0444149,1.21263
4,65535,16,3,0.00417903,0.053916,0.0454596,1.18602
4,131071,17,0,0.00833668,0.11533,0.0930034,1.24006
4,131071,17,1,0.00835529,0.11592,0.0950922,1.21903
4,131071,17,2,0.00833009,0.115623,0.0971747,1.18985
4,131071,17,3,0.00833991,0.115762,0.0992597,1.16625
4,262143,18,0,0.0166655,0.247583,0.202686,1.22151
4,262143,18,1,0.0166714,0.247074,0.206854,1.19444
4,262143,18,2,0.0166682,0.246859,0.211021,1.16983
4,262143,18,3,0.0166555,0.247541,0.215185,1.15037
4,524287,19,0,0.0333467,0.527268,0.438706,1.20187
4,524287,19,1,0.033319,0.528281,0.447036,1.18174
4,524287,19,2,0.0333244,0.528879,0.455367,1.16144
4,524287,19,3,0.0333024,0.528191,0.463692,1.1391
4,1048575,20,0,0.0674921,1.12369,0.944257,1.19003
4,1048575,20,1,0.0675622,1.1237,0.961148,1.16912
4,1048575,20,2,0.0675292,1.12233,0.97803,1.14754
4,1048575,20,3,0.0675781,1.12146,0.994925,1.12719
4,2097151,21,0,0.136281,2.38305,2.02392,1.17744
4,2097151,21,1,0.13682,2.3842,2.05812,1.15843
4,2097151,21,2,0.136788,2.37735,2.09232,1.13623
4,2097151,21,3,0.136942,2.38299,2.12656,1.12059
4,4194303,22,0,0.275413,5.04149,4.32197,1.16648
4,4194303,22,1,0.275203,5.04339,4.39077,1.14863
4,4194303,22,2,0.275553,5.04422,4.45966,1.13108
4,4194303,22,3,0.275395,5.04578,4.52851,1.11423
4,8388607,23,0,0.577103,10.6812,9.20129,1.16084
4,8388607,23,1,0.573932,10.6343,9.34477,1.13799
4,8388607,23,2,0.574064,10.6101,9.48829,1.11823
4,8388607,23,3,0.573499,10.6098,9.63166,1.10156
4,16777215,24,0,1.14973,22.4266,19.5508,1.1471
4,16777215,24,1,1.14928,22.3615,19.8381,1.1272
4,16777215,24,2,1.14873,22.2747,20.1253,1.1068
