NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
5,3,2,0,0,2e-06,0,inf
5,3,2,1,0,0,0,-nan
5,3,2,2,0,0,0,-nan
5,3,2,3,0,0,0,-nan
5,3,2,4,0,0,0,-nan
5,7,3,0,0,0,0,-nan
5,7,3,1,0,0,0,-nan
5,7,3,2,0,0,0,-nan
5,7,3,3,0,0,0,-nan
5,7,3,4,0,0,0,-nan
5,15,4,0,9e-08,1e-06,1.8e-08,55.5556
5,15,4,1,1e-08,1e-06,2e-08,50
5,15,4,2,0,1e-06,2e-08,50
5,15,4,3,0,1e-06,2e-08,50
5,15,4,4,0,1e-06,2e-08,50
5,31,5,0,1.17e-06,5e-06,2.74e-07,18.2482
5,31,5,1,1.12e-06,4e-06,4.98e-07,8.03213
5,31,5,2,1.02e-06,5e-06,7.02e-07,7.12251
5,31,5,3,1.09e-06,5e-06,9.2e-07,5.43478
5,31,5,4,9.8e-07,4e-06,1.116e-06,3.58423
5,63,6,0,3.42e-06,1.4e-05,2.916e-06,4.8011
5,63,6,1,3.3e-06,1.5e-05,3.576e-06,4.19463
5,63,6,2,3.25e-06,1.4e-05,4.226e-06,3.31283
5,63,6,3,3.33e-06,1.4e-05,4.892e-06,2.86182
5,63,6,4,3.31e-06,1.4e-05,5.554e-06,2.52071
5,127,7,0,7.64e-06,3.2e-05,1.2636e-05,2.53245
5,127,7,1,7.58e-06,3.7e-05,1.4152e-05,2.61447
5,127,7,2,7.76e-06,3.1e-05,1.5704e-05,1.97402
5,127,7,3,7.88e-06,3.5e-05,1.728e-05,2.02546
5,127,7,4,7.58e-06,3.4e-05,1.8796e-05,1.8089
5,255,8,0,1.61e-05,9e-05,4.0812e-05,2.20523
5,255,8,1,1.678e-05,9e-05,4.4168e-05,2.03767
5,255,8,2,1.677e-05,8.8e-05,4.7522e-05,1.85177
5,255,8,3,1.701e-05,8.8e-05,5.0924e-05,1.72807
5,255,8,4,1.699e-05,9.3e-05,5.4322e-05,1.71201
5,511,9,0,3.475e-05,0.000213,0.000115594,1.84266
5,511,9,1,3.505e-05,0.000211,0.000122604,1.72099
5,511,9,2,3.551e-05,0.000219,0.000129706,1.68843
5,511,9,3,3.465e-05,0.000209,0.000136636,1.52961
5,511,9,4,3.396e-05,0.00022,0.000143428,1.53387
5,1023,10,0,7.058e-05,0.000505,0.000300972,1.6779
5,1023,10,1,7.097e-05,0.000509,0.000315166,1.61502
5,1023,10,2,7.095e-05,0.000476,0.000329356,1.44524
5,1023,10,3,7.03e-05,0.000488,0.000343416,1.42102
5,1023,10,4,7.013e-05,0.000494,0.000357442,1.38204
5,2047,11,0,0.00014304,0.001166,0.000743492,1.56828
5,2047,11,1,0.00013997,0.001144,0.000771486,1.48285
5,2047,11,2,0.0001452,0.00115,0.000800526,1.43656
5,2047,11,3,0.00014404,0.001141,0.000829334,1.3758
5,2047,11,4,0.00014515,0.001076,0.000858364,1.25355
5,4095,12,0,0.00028559,0.002579,0.00177385,1.4539
5,4095,12,1,0.00028548,0.0025,0.00183094,1.36542
5,4095,12,2,0.00028653,0.002487,0.00188825,1.31709
5,4095,12,3,0.00029004,0.002572,0.00194626,1.32151
5,4095,12,4,0.00028758,0.0026,0.00200377,1.29755
5,8191,13,0,0.00056551,0.005581,0.00412065,1.3544
5,8191,13,1,0.00057414,0.005727,0.00423547,1.35215
5,8191,13,2,0.00058257,0.005271,0.00435199,1.21117
5,8191,13,3,0.00057519,0.005727,0.00446703,1.28206
5,8191,13,4,0.00057447,0.005654,0.00458192,1.23398
5,16383,14,0,0.00114901,0.01261,0.00939364,1.3424
5,16383,14,1,0.00115656,0.012668,0.00962495,1.31616
5,16383,14,2,0.00117078,0.012675,0.00985911,1.28561
5,16383,14,3,0.00115049,0.012593,0.0100892,1.24817
5,16383,14,4,0.00116487,0.012583,0.0103222,1.21903
5,32767,15,0,0.0023256,0.027242,0.0211095,1.29051
5,32767,15,1,0.00231217,0.02767,0.0215719,1.28269
5,32767,15,2,0.00233197,0.027428,0.0220383,1.24456
5,32767,15,3,0.00232382,0.027526,0.0225031,1.22321
5,32767,15,4,0.00234619,0.027361,0.0229723,1.19104
5,65535,16,0,0.0046483,0.059516,0.0468743,1.26969
5,65535,16,1,0.0046651,0.059847,0.0478073,1.25184
5,65535,16,2,0.00468573,0.0596,0.0487444,1.2227
5,65535,16,3,0.00469156,0.059935,0.0496828,1.20635
5,65535,16,4,0.00465146,0.059768,0.0506131,1.18088
5,131071,17,0,0.00936145,0.129181,0.103098,1.25299
5,131071,17,1,0.00935842,0.129045,0.10497,1.22935
5,131071,17,2,0.00946118,0.128622,0.106862,1.20362
5,131071,17,3,0.0094444,0.128958,0.108751,1.18581
5,131071,17,4,0.00939106,0.127821,0.110629,1.1554
5,262143,18,0,0.0188988,0.276486,0.225039,1.22862
5,262143,18,1,0.0189068,0.277146,0.22882,1.2112
5,262143,18,2,0.0191449,0.27709,0.232649,1.19102
5,262143,18,3,0.0191577,0.277653,0.23648,1.17411
5,262143,18,4,0.019184,0.27586,0.240317,1.1479
5,524287,19,0,0.0398779,0.593954,0.48861,1.2156
5,524287,19,1,0.039856,0.594884,0.496581,1.19796
5,524287,19,2,0.0401246,0.593114,0.504606,1.1754
5,524287,19,3,0.0399088,0.596095,0.512588,1.16291
5,524287,19,4,0.0400345,0.593632,0.520595,1.1403
5,1048575,20,0,0.0821708,1.27326,1.05762,1.20389
5,1048575,20,1,0.0821665,1.27124,1.07406,1.18358
5,1048575,20,2,0.0826334,1.26389,1.09058,1.15891
5,1048575,20,3,0.0826719,1.27344,1.10712,1.15023
5,1048575,20,4,0.082608,1.27235,1.12364,1.13234
5,2097151,21,0,0.166838,2.69718,2.28065,1.18264
5,2097151,21,1,0.167102,2.70568,2.31407,1.16923
5,2097151,21,2,0.167977,2.70757,2.34766,1.1533
5,2097151,21,3,0.168104,2.71099,2.38128,1.13846
5,2097151,21,4,0.167857,2.71049,2.41486,1.12242
5,4194303,22,0,0.35889,5.78655,4.90149,1.18057
5,4194303,22,1,0.359301,5.78403,4.97335,1.16301
5,4194303,22,2,0.361177,5.78262,5.04558,1.14608
5,4194303,22,3,0.358794,5.78769,5.11734,1.13099
5,4194303,22,4,0.361017,5.78771,5.18955,1.11526
5,8388607,23,0,0.729703,12.2944,10.525,1.16811
5,8388607,23,1,0.729601,12.3123,10.671,1.15381
5,8388607,23,2,0.734209,12.2891,10.8178,1.13601
5,8388607,23,3,0.733635,12.3138,10.9645,1.12306
5,8388607,23,4,0.733024,12.305,11.1111,1.10745
