NDIM,	dimension,	power,	axis,	time_select,	time_kdtree,	theoretic_time_kdtree,	ratio_real_theoretic
2,		3,			2,		1,		0,				0,				0,						-nan
2,		7,			3,		1,		0,				0,				0,						-nan
2,		15,			4,		1,		0,				1e-06,			0,						inf
2,		31,			5,		1,		8.3e-07,		3e-06,			8.3e-07,				3.61446
2,		63,			6,		1,		2.205e-06,		1e-05,			3.865e-06,				2.58732
2,		127,		7,		1,		5.56e-06,		2.6e-05,		1.329e-05,				1.95636
2,		255,		8,		1,		1.181e-05,		6.2e-05,		3.839e-05,				1.615
2,		511,		9,		1,		2.5705e-05,		0.00015,		0.000102485,			1.46363
2,		1023,		10,		1,		5.231e-05,		0.000377,		0.00025728,				1.46533
2,		2047,		11,		1,		0.000100065,	0.000711,		0.000614625,			1.1568
2,		4095,		12,		1,		0.000178225,	0.001473,		0.00140747,				1.04656
2,		8191,		13,		1,		0.000346595,	0.003254,		0.00316154,				1.02924
2,		16383,		14,		1,		0.000693215,	0.007209,		0.0070163,				1.02746
2,		32767,		15,		1,		0.00138682,		0.015787,		0.0154194,				1.02384
2,		65535,		16,		1,		0.00275719,		0.034276,		0.033596,				1.02024
2,		131071,		17,		1,		0.00553202,		0.073942,		0.0727241,				1.01675
2,		262143,		18,		1,		0.0110392,		0.158729,		0.156487,				1.01432
2,		524287,		19,		1,		0.0226585,		0.340664,		0.335633,				1.01499
2,		1048575,	20,		1,		0.0465656,		0.721432,		0.717832,				1.00501
2,		2097151,	21,		1,		0.108159,		1.55454,		1.54382,				1.00694
2,		4194303,	22,		1,		0.203457,		3.29735,		3.29111,				1.0019
2,		8388607,	23,		1,		0.392683,		6.93164,		6.97489,				0.993799
2,		16777215,	24,		1,		0.769224,		14.7723,		14.719,					1.00362
2,		33554431,	25,		1,		1.52662,		31.6181,		30.9646,				1.0211
2,		67108863,	26,		1,		3.05535,		65.3882,		64.9846,				1.00621
2,		134217727,	27,		1,		6.05069,		140.428,		136.02,					1.03241
