NDIM,tree_dimension,power,axis,time_select,time_kdtree,theoretic_time_kdtree,ratio_real_theoretic
2,3,2,0,0,0,0,-nan
2,3,2,1,0,0,0,-nan
2,7,3,0,0,0,0,-nan
2,7,3,1,0,0,0,-nan
2,15,4,0,0,1e-06,0,inf
2,15,4,1,0,1e-06,0,inf
2,31,5,0,8.5e-07,4e-06,4.25e-07,9.41176
2,31,5,1,8.2e-07,4e-06,8.35e-07,4.79042
2,63,6,0,2.4e-06,9e-06,2.87e-06,3.13589
2,63,6,1,2.11e-06,9e-06,3.925e-06,2.29299
2,127,7,0,5.94e-06,2.5e-05,1.082e-05,2.31054
2,127,7,1,5.57e-06,2.6e-05,1.3605e-05,1.91106
2,255,8,0,1.176e-05,6.3e-05,3.309e-05,1.9039
2,255,8,1,1.261e-05,6.5e-05,3.9395e-05,1.64996
2,511,9,0,2.589e-05,0.000153,9.1735e-05,1.66785
2,511,9,1,2.526e-05,0.00015,0.000104365,1.43726
2,1023,10,0,5.239e-05,0.00035,0.000234925,1.48984
2,1023,10,1,5.109e-05,0.000338,0.00026047,1.29765
2,2047,11,0,9.669e-05,0.000683,0.000569285,1.19975
2,2047,11,1,8.516e-05,0.000652,0.000611865,1.06559
2,4095,12,0,0.00017068,0.001463,0.00130907,1.11759
2,4095,12,1,0.00017106,0.001474,0.0013946,1.05693
2,8191,13,0,0.00035153,0.003341,0.00296496,1.12683
2,8191,13,1,0.00034812,0.00328,0.00313902,1.04491
2,16383,14,0,0.00069613,0.007238,0.00662611,1.09234
2,16383,14,1,0.00069544,0.007292,0.00697384,1.04562
2,32767,15,0,0.00139831,0.016073,0.0146468,1.09737
2,32767,15,1,0.0014522,0.018461,0.0153729,1.20088
2,65535,16,0,0.00281729,0.034249,0.0321545,1.06514
2,65535,16,1,0.00275847,0.034151,0.0335337,1.01841
