[ct1pt-tnode007:27850] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:25797] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.01
4,1000,0.99,4.03
8,1000,0.99,8.08
16,1000,0.99,16.12
32,1000,1.02,31.51
64,1000,1.14,55.93
128,1000,1.20,106.55
256,1000,1.44,177.16
512,1000,1.51,337.96
1024,1000,1.66,615.14
2048,1000,2.32,881.80
4096,1000,3.17,1293.36
8192,1000,4.44,1846.54
16384,1000,6.25,2619.76
32768,1000,8.42,3891.81
65536,640,12.27,5342.31
131072,320,18.40,7125.31
262144,160,32.79,7993.99
524288,80,63.95,8198.77
1048576,40,97.25,10782.60
2097152,20,182.37,11499.21
4194304,10,352.79,11889.09
