#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.03
2,1000,0.19,10.61
4,1000,0.19,21.35
8,1000,0.19,41.95
16,1000,0.19,84.59
32,1000,0.22,143.21
64,1000,0.22,291.23
128,1000,0.32,401.65
256,1000,0.34,763.51
512,1000,0.38,1340.11
1024,1000,0.48,2123.09
2048,1000,0.74,2749.01
4096,1000,1.11,3680.40
8192,1000,1.86,4416.16
16384,1000,2.94,5573.27
32768,1000,4.96,6611.90
65536,640,8.45,7751.92
131072,320,14.94,8774.80
262144,160,13.91,18847.09
524288,80,25.11,20882.88
1048576,40,56.33,18613.42
2097152,20,143.97,14566.65
4194304,10,306.94,13664.73
