#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.84
2,1000,0.20,10.22
4,1000,0.19,21.26
8,1000,0.19,41.71
16,1000,0.19,83.00
32,1000,0.22,146.72
64,1000,0.22,292.17
128,1000,0.32,402.14
256,1000,0.32,794.26
512,1000,0.40,1278.85
1024,1000,0.50,2035.17
2048,1000,0.74,2756.57
4096,1000,1.12,3662.36
8192,1000,1.86,4393.91
16384,1000,2.96,5536.74
32768,1000,4.81,6815.39
65536,640,8.31,7886.55
131072,320,15.01,8733.34
262144,160,12.61,20789.91
524288,80,22.31,23496.48
1048576,40,51.45,20380.92
2097152,20,139.52,15030.78
4194304,10,311.93,13446.18
