[ct1pt-tnode008:19504] MCW rank 0 bound to socket 0[core 0[hwt 0]], socket 0[core 1[hwt 0]], socket 0[core 2[hwt 0]], socket 0[core 3[hwt 0]], socket 0[core 4[hwt 0]], socket 0[core 5[hwt 0]], socket 0[core 6[hwt 0]], socket 0[core 7[hwt 0]], socket 0[core 8[hwt 0]], socket 0[core 9[hwt 0]], socket 0[core 10[hwt 0]], socket 0[core 11[hwt 0]]: [B/B/B/B/B/B/B/B/B/B/B/B][./././././././././././.]
[ct1pt-tnode008:19504] MCW rank 1 bound to socket 1[core 12[hwt 0]], socket 1[core 13[hwt 0]], socket 1[core 14[hwt 0]], socket 1[core 15[hwt 0]], socket 1[core 16[hwt 0]], socket 1[core 17[hwt 0]], socket 1[core 18[hwt 0]], socket 1[core 19[hwt 0]], socket 1[core 20[hwt 0]], socket 1[core 21[hwt 0]], socket 1[core 22[hwt 0]], socket 1[core 23[hwt 0]]: [./././././././././././.][B/B/B/B/B/B/B/B/B/B/B/B]
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.41,2.45
2,1000,0.40,5.04
4,1000,0.40,10.04
8,1000,0.40,20.04
16,1000,0.41,39.37
32,1000,0.56,57.52
64,1000,0.55,115.51
128,1000,0.90,142.96
256,1000,0.94,271.69
512,1000,1.13,452.59
1024,1000,1.36,755.51
2048,1000,2.11,969.50
4096,1000,3.00,1367.13
8192,1000,4.82,1698.83
16384,1000,7.25,2259.19
32768,1000,13.03,2515.65
65536,640,24.38,2687.91
131072,320,46.33,2829.34
262144,160,13.23,19809.83
524288,80,22.91,22884.13
1048576,40,50.98,20569.61
2097152,20,145.92,14372.22
4194304,10,298.54,14049.22
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,0.99,2.02
4,1000,0.99,4.03
8,1000,0.99,8.08
16,1000,0.99,16.20
32,1000,1.00,31.92
64,1000,1.14,55.99
128,1000,1.19,107.55
256,1000,1.43,178.47
512,1000,1.52,337.95
1024,1000,1.67,614.93
2048,1000,2.32,883.37
4096,1000,3.17,1292.14
8192,1000,4.45,1841.73
16384,1000,6.24,2624.10
32768,1000,8.37,3916.55
65536,640,12.21,5365.28
131072,320,18.50,7084.20
262144,160,32.70,8015.68
524288,80,57.40,9133.17
1048576,40,98.40,10655.78
2097152,20,182.20,11510.43
4194304,10,352.89,11885.45
