X.bytes;X.repetitions;t.usec.;Mbytes.sec
0;1000;0,2;0
1;1000;0,2;4,93
2;1000;0,2;10,27
4;1000;0,19;20,67
8;1000;0,19;41,51
16;1000;0,19;83,88
32;1000;0,22;142
64;1000;0,22;284,59
128;1000;0,31;418,23
256;1000;0,33;773,2
512;1000;0,39;1326,78
1024;1000;0,49;2073,55
2048;1000;0,75;2747,51
4096;1000;1,12;3664,37
8192;1000;1,87;4384,83
16384;1000;2,98;5498,63
32768;1000;4,79;6838,62
65536;640;8,21;7989,65
131072;320;14,68;8929,12
262144;160;13,47;19525,63
524288;80;24,44;21540,51
1048576;40;54,29;19350,03
2097152;20;142,65;14712,61
4194304;10;307,81;13631,5
8388608;5;873,61;9604,27
16777216;2;2288,08;7332,95
33554432;1;5228,86;6417,47
67108864;1;10451,9;6420,91
134217728;1;20898,54;6422,51
268435456;1;41668,95;6442,27
