#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.90
2,1000,0.19,10.44
4,1000,0.19,20.81
8,1000,0.19,41.03
16,1000,0.20,81.95
32,1000,0.23,141.83
64,1000,0.22,288.93
128,1000,0.31,419.58
256,1000,0.33,775.93
512,1000,0.39,1309.50
1024,1000,0.49,2082.91
2048,1000,0.74,2758.19
4096,1000,1.11,3680.29
8192,1000,1.88,4361.00
16384,1000,3.01,5441.62
32768,1000,4.77,6872.86
65536,640,8.44,7763.09
131072,320,14.94,8775.91
262144,160,13.93,18818.23
524288,80,24.94,21018.29
1048576,40,55.01,19061.02
2097152,20,144.80,14483.16
4194304,10,307.06,13659.54
8388608,5,872.00,9619.92
16777216,2,2282.12,7351.58
33554432,1,5233.63,6411.31
67108864,1,10487.14,6399.16
134217728,1,20892.70,6424.15
268435456,1,41629.03,6448.27
