X.bytes;X.repetitions;t.usec.;Mbytes.sec
0;1000;0,99;0
1;1000;0,99;1,01
2;1000;1;2
4;1000;1;4
8;1000;0,99;8,05
16;1000;1;16,05
32;1000;1,01;31,58
64;1000;1,15;55,88
128;1000;1,19;107,14
256;1000;1,5;173,8
512;1000;1,51;339,77
1024;1000;1,67;614,88
2048;1000;2,33;879,3
4096;1000;3,18;1286,3
8192;1000;4,46;1835,69
16384;1000;6,29;2605,81
32768;1000;8,45;3879,99
65536;640;12,28;5335,74
131072;320;18,47;7097,29
262144;160;32,66;8027,52
524288;80;54,89;9556,69
1048576;40;97,59;10745,66
2097152;20;183,19;11448,99
4194304;10;352,66;11893,36
8388608;5;692,67;12110,47
16777216;2;1382;12139,82
33554432;1;2759,51;12159,57
67108864;1;5524,88;12146,68
134217728;1;11034,18;12163,82
268435456;1;22073,68;12160,88
