#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.01,1.98
4,1000,1.00,3.98
8,1000,1.00,7.98
16,1000,1.00,15.96
32,1000,1.02,31.37
64,1000,1.14,56.00
128,1000,1.20,106.99
256,1000,1.43,179.01
512,1000,1.51,339.70
1024,1000,1.67,614.93
2048,1000,2.34,874.44
4096,1000,3.22,1270.54
8192,1000,4.53,1807.59
16384,1000,6.38,2566.86
32768,1000,8.48,3864.46
65536,640,12.32,5317.39
131072,320,18.50,7084.86
262144,160,32.69,8018.86
524288,80,54.18,9676.84
1048576,40,96.92,10819.54
2097152,20,182.34,11501.29
4194304,10,352.15,11910.60
8388608,5,691.83,12125.20
16777216,2,1382.42,12136.14
33554432,1,2757.91,12166.60
67108864,1,5522.82,12151.20
134217728,1,11037.49,12160.16
268435456,1,22074.22,12160.59
