X.bytes;X.repetitions;t.usec.;Mbytes.sec
0;1000;0,41;0
1;1000;0,4;2,5
2;1000;0,4;5,03
4;1000;0,4;10,05
8;1000;0,4;20,01
16;1000;0,4;40,04
32;1000;0,56;56,9
64;1000;0,56;114,57
128;1000;0,9;142,88
256;1000;0,94;272,39
512;1000;1,12;455,56
1024;1000;1,31;784,45
2048;1000;2,1;975,13
4096;1000;3,01;1361,53
8192;1000;4,84;1692,98
16384;1000;7,36;2227,62
32768;1000;13,21;2482,23
65536;640;24,64;2662,5
131072;320;46,26;2835,77
262144;160;13,97;18809,63
524288;80;24,89;21138,55
1048576;40;54,45;19287,05
2097152;20;142,63;14710,69
4194304;10;296,43;14154,38
8388608;5;613,53;13674,87
16777216;2;1912,57;8773,61
33554432;1;5531,53;6066,95
67108864;1;11872,05;5653,08
134217728;1;23807,95;5637,77
268435456;1;47515,73;5649,67
