#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.39,2.54
2,1000,0.40,5.04
4,1000,0.40,10.09
8,1000,0.40,20.10
16,1000,0.39,40.58
32,1000,0.56,57.20
64,1000,0.56,114.29
128,1000,0.90,142.12
256,1000,0.95,269.65
512,1000,1.14,450.75
1024,1000,1.32,776.68
2048,1000,2.10,976.88
4096,1000,3.00,1365.31
8192,1000,4.82,1698.72
16384,1000,7.23,2264.92
32768,1000,12.97,2525.99
65536,640,24.21,2706.81
131072,320,45.24,2897.05
262144,160,13.22,19826.01
524288,80,25.49,20571.11
1048576,40,54.72,19161.87
2097152,20,143.75,14588.52
4194304,10,306.40,13688.94
8388608,5,607.31,13812.65
16777216,2,1905.02,8806.86
33554432,1,5568.63,6025.62
67108864,1,11950.41,5615.61
134217728,1,24073.66,5575.29
268435456,1,47309.91,5673.98
