#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.35,0.00
1,1000,5.53,0.18
2,1000,5.55,0.36
4,1000,5.54,0.72
8,1000,5.55,1.44
16,1000,5.54,2.89
32,1000,5.53,5.79
64,1000,5.57,11.50
128,1000,5.64,22.71
256,1000,5.67,45.12
512,1000,5.75,89.11
1024,1000,6.35,161.19
2048,1000,6.13,333.95
4096,1000,7.18,570.32
8192,1000,7.58,1080.88
16384,1000,9.94,1648.45
32768,1000,16.08,2037.46
65536,640,31.16,2103.47
131072,320,44.27,2960.85
262144,160,62.59,4188.01
524288,80,97.19,5394.23
1048576,40,181.76,5769.16
2097152,20,318.12,6592.39
4194304,10,606.87,6911.42
8388608,5,1612.26,5203.01
16777216,2,3212.77,5222.04
33554432,1,6512.02,5152.69
67108864,1,12929.32,5190.44
134217728,1,25891.20,5183.91
268435456,1,51615.40,5200.68
