#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.28,3.58
2,1000,0.28,7.23
4,1000,0.28,14.47
8,1000,0.28,28.49
16,1000,0.31,51.81
32,1000,0.29,108.97
64,1000,0.33,191.41
128,1000,0.39,324.68
256,1000,0.43,591.61
512,1000,0.63,816.43
1024,1000,0.76,1344.19
2048,1000,0.84,2437.02
4096,1000,1.77,2319.24
8192,1000,2.12,3855.57
16384,1000,2.72,6018.89
32768,1000,4.02,8161.14
65536,640,5.50,11917.91
131072,320,10.47,12522.28
262144,160,19.12,13709.85
524288,80,38.66,13562.63
1048576,40,90.26,11617.55
2097152,20,205.74,10193.20
4194304,10,434.64,9649.96
8388608,5,1494.23,5613.99
16777216,2,3716.47,4514.28
33554432,1,7463.73,4495.67
67108864,1,14890.04,4506.96
134217728,1,29794.66,4504.76
268435456,1,59279.04,4528.34
