#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.74
2,1000,0.19,10.42
4,1000,0.19,21.10
8,1000,0.19,42.14
16,1000,0.19,83.11
32,1000,0.22,145.80
64,1000,0.22,291.35
128,1000,0.31,410.46
256,1000,0.33,786.17
512,1000,0.37,1367.61
1024,1000,0.49,2093.34
2048,1000,0.75,2748.13
4096,1000,1.13,3637.59
8192,1000,1.87,4373.19
16384,1000,2.98,5502.22
32768,1000,4.83,6777.54
65536,640,8.36,7837.36
131072,320,15.13,8665.00
262144,160,13.09,20026.34
524288,80,26.55,19746.42
1048576,40,55.39,18930.12
2097152,20,146.60,14305.64
4194304,10,317.29,13219.17
8388608,5,1064.23,7882.33
16777216,2,2565.97,6538.36
33554432,1,5289.67,6343.39
67108864,1,10410.84,6446.06
134217728,1,20778.40,6459.48
268435456,1,41426.60,6479.79
