#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.19,0.00
1,1000,0.20,5.13
2,1000,0.21,9.57
4,1000,0.19,20.61
8,1000,0.18,43.59
16,1000,0.18,86.97
32,1000,0.22,144.12
64,1000,0.22,292.22
128,1000,0.29,437.28
256,1000,0.33,771.21
512,1000,0.38,1346.17
1024,1000,0.50,2049.94
2048,1000,0.75,2737.38
4096,1000,1.12,3657.96
8192,1000,1.87,4388.60
16384,1000,3.00,5453.61
32768,1000,5.10,6423.43
65536,640,8.71,7523.10
131072,320,15.79,8300.94
262144,160,13.73,19094.64
524288,80,24.98,20991.83
1048576,40,58.10,18046.28
2097152,20,153.58,13655.22
4194304,10,304.94,13754.42
8388608,5,913.20,9185.91
16777216,2,2506.74,6692.85
33554432,1,5227.41,6418.94
67108864,1,10458.67,6416.58
134217728,1,20942.19,6408.96
268435456,1,41406.57,6482.92
