#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.98
2,1000,0.19,10.63
4,1000,0.19,20.83
8,1000,0.19,42.58
16,1000,0.19,83.82
32,1000,0.23,137.65
64,1000,0.23,282.22
128,1000,0.31,417.29
256,1000,0.33,777.94
512,1000,0.39,1308.12
1024,1000,0.50,2031.97
2048,1000,0.75,2722.99
4096,1000,1.13,3619.18
8192,1000,1.89,4341.24
16384,1000,2.96,5525.96
32768,1000,4.79,6836.43
65536,640,8.50,7707.64
131072,320,15.05,8711.40
262144,160,21.55,12164.48
524288,80,22.70,23091.61
1048576,40,52.12,20116.96
2097152,20,140.95,14878.49
4194304,10,317.46,13212.24
8388608,5,947.47,8853.65
16777216,2,2440.32,6875.02
33554432,1,5256.99,6382.83
67108864,1,10461.46,6414.87
134217728,1,20887.84,6425.64
268435456,1,41606.18,6451.82
