#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.53,0.00
1,1000,5.65,0.18
2,1000,5.64,0.35
4,1000,5.64,0.71
8,1000,5.66,1.41
16,1000,5.66,2.83
32,1000,5.68,5.64
64,1000,5.61,11.42
128,1000,5.63,22.72
256,1000,5.69,45.02
512,1000,5.83,87.75
1024,1000,6.38,160.53
2048,1000,6.12,334.54
4096,1000,7.21,567.79
8192,1000,7.69,1065.11
16384,1000,9.74,1682.38
32768,1000,15.93,2056.43
65536,640,29.87,2193.78
131072,320,40.31,3251.45
262144,160,55.04,4762.93
524288,80,89.94,5829.00
1048576,40,152.62,6870.28
2097152,20,290.39,7221.72
4194304,10,608.84,6889.04
8388608,5,1524.52,5502.44
16777216,2,3298.73,5085.97
33554432,1,6486.22,5173.19
67108864,1,13232.99,5071.33
134217728,1,25691.73,5224.16
268435456,1,51602.94,5201.94
