#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.29,3.47
2,1000,0.29,6.96
4,1000,0.29,13.75
8,1000,0.29,27.75
16,1000,0.31,52.34
32,1000,0.30,106.28
64,1000,0.34,188.04
128,1000,0.38,337.47
256,1000,0.46,552.62
512,1000,0.62,830.81
1024,1000,0.74,1391.71
2048,1000,0.86,2379.26
4096,1000,1.75,2343.92
8192,1000,2.11,3886.76
16384,1000,2.67,6125.83
32768,1000,3.74,8760.93
65536,640,5.46,11991.96
131072,320,10.72,12230.30
262144,160,18.69,14025.50
524288,80,38.61,13580.26
1048576,40,90.75,11553.95
2097152,20,216.56,9683.75
4194304,10,432.43,9699.30
8388608,5,1526.03,5497.02
16777216,2,3727.92,4500.42
33554432,1,7491.44,4479.03
67108864,1,14863.65,4514.96
134217728,1,29780.22,4506.94
268435456,1,59179.27,4535.97
