#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.91
2,1000,0.19,10.62
4,1000,0.19,21.31
8,1000,0.19,42.54
16,1000,0.19,83.76
32,1000,0.22,146.26
64,1000,2.39,26.77
128,1000,0.30,425.58
256,1000,0.33,783.52
512,1000,0.38,1332.10
1024,1000,0.49,2108.49
2048,1000,0.74,2760.04
4096,1000,7.07,579.38
8192,1000,1.86,4394.11
16384,1000,2.95,5546.07
32768,1000,9.84,3331.51
65536,640,19.26,3401.88
131072,320,35.42,3700.50
262144,160,12.58,20836.20
524288,80,22.43,23372.18
1048576,40,51.73,20269.27
2097152,20,141.08,14864.50
4194304,10,642.94,6523.65
8388608,5,2428.39,3454.38
16777216,2,4455.58,3765.44
33554432,1,5258.16,6381.40
67108864,1,13209.51,5080.35
134217728,1,27258.62,4923.86
268435456,1,62434.80,4299.45
