#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.82
2,1000,0.19,10.37
4,1000,0.19,21.05
8,1000,0.19,42.18
16,1000,0.19,83.34
32,1000,0.22,143.60
64,1000,0.22,290.47
128,1000,0.32,404.42
256,1000,0.33,771.62
512,1000,0.39,1296.99
1024,1000,0.50,2034.78
2048,1000,0.73,2788.04
4096,1000,1.12,3669.64
8192,1000,1.99,4114.74
16384,1000,9.48,1727.38
32768,1000,4.81,6809.88
65536,640,18.50,3543.23
131072,320,35.39,3703.18
262144,160,12.55,20883.28
524288,80,25.00,20971.44
1048576,40,50.79,20643.36
2097152,20,495.86,4229.35
4194304,10,667.06,6287.70
8388608,5,2173.01,3860.37
16777216,2,5527.26,3035.36
33554432,1,11675.76,2873.85
67108864,1,22678.90,2959.09
134217728,1,20737.71,6472.16
268435456,1,64886.19,4137.02
