#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.02
2,1000,0.18,10.85
4,1000,0.18,22.15
8,1000,0.18,44.10
16,1000,0.18,88.44
32,1000,0.23,141.02
64,1000,0.22,285.96
128,1000,0.31,411.63
256,1000,0.33,777.63
512,1000,0.39,1321.41
1024,1000,0.50,2064.71
2048,1000,0.75,2734.44
4096,1000,1.16,3540.54
8192,1000,1.97,4162.86
16384,1000,3.33,4924.42
32768,1000,5.36,6115.03
65536,640,9.05,7238.42
131072,320,16.18,8101.63
262144,160,14.96,17526.88
524288,80,27.81,18850.67
1048576,40,58.24,18005.20
2097152,20,148.40,14132.09
4194304,10,307.79,13626.94
8388608,5,2029.36,4133.63
16777216,2,6552.93,2560.26
33554432,1,5199.63,6453.24
67108864,1,12951.86,5181.41
134217728,1,27330.47,4910.92
268435456,1,68977.52,3891.64
