#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,34.81,0.00
1,1000,35.05,0.03
2,1000,34.42,0.06
4,1000,28.43,0.14
8,1000,29.01,0.28
16,1000,35.12,0.46
32,1000,29.14,1.10
64,1000,35.29,1.81
128,1000,35.63,3.59
256,1000,29.09,8.80
512,1000,36.20,14.14
1024,1000,29.65,34.53
2048,1000,77.80,26.33
4096,1000,82.52,49.64
8192,1000,40.83,200.64
16384,1000,46.66,351.15
32768,1000,84.59,387.38
65536,640,113.53,577.25
131072,320,219.24,597.85
262144,160,301.18,870.40
524288,80,384.53,1363.47
1048576,40,709.99,1476.90
2097152,20,1288.75,1627.28
4194304,10,2598.23,1614.29
8388608,5,5508.51,1522.85
16777216,2,11072.07,1515.27
33554432,1,23970.00,1399.85
67108864,1,40802.16,1644.74
134217728,1,78884.56,1701.44
268435456,1,85686.44,3132.76
