#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.01,1.99
4,1000,1.01,3.97
8,1000,0.99,8.06
16,1000,0.99,16.10
32,1000,1.02,31.28
64,1000,1.17,54.81
128,1000,1.23,104.48
256,1000,1.45,176.39
512,1000,1.52,336.49
1024,1000,1.67,612.48
2048,1000,2.35,870.13
4096,1000,3.19,1282.90
8192,1000,4.46,1837.04
16384,1000,6.25,2623.04
32768,1000,8.48,3866.17
65536,640,12.40,5283.88
131072,320,18.59,7052.44
262144,160,31.97,8199.94
524288,80,53.98,9711.74
1048576,40,96.98,10812.00
2097152,20,182.17,11511.78
4194304,10,353.06,11879.79
8388608,5,693.82,12090.53
16777216,2,1382.11,12138.82
33554432,1,4095.00,8194.00
67108864,1,6527.72,10280.60
134217728,1,11033.67,12164.37
268435456,1,22074.81,12160.26
