#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,1.00,1.00
2,1000,1.00,2.00
4,1000,1.00,4.02
8,1000,0.99,8.06
16,1000,0.99,16.10
32,1000,1.01,31.55
64,1000,1.18,54.08
128,1000,1.23,103.90
256,1000,1.46,175.82
512,1000,1.51,338.36
1024,1000,1.69,607.45
2048,1000,2.34,873.57
4096,1000,3.19,1282.86
8192,1000,4.48,1826.92
16384,1000,6.26,2616.24
32768,1000,8.46,3872.50
65536,640,12.39,5291.20
131072,320,18.63,7034.61
262144,160,32.02,8186.39
524288,80,54.11,9688.74
1048576,40,96.94,10817.00
2097152,20,182.32,11502.44
4194304,10,352.86,11886.44
8388608,5,718.66,11672.63
16777216,2,1730.16,9696.90
33554432,1,2758.02,12166.13
67108864,1,5515.80,12166.67
134217728,1,11023.31,12175.82
268435456,1,22084.29,12155.04
