#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.18,3.39
8,1000,1.00,8.02
16,1000,1.00,16.03
32,1000,1.02,31.48
64,1000,1.17,54.55
128,1000,1.68,76.29
256,1000,1.46,175.85
512,1000,1.52,335.78
1024,1000,2.30,444.30
2048,1000,2.34,873.80
4096,1000,3.88,1054.58
8192,1000,4.58,1787.70
16384,1000,6.41,2556.89
32768,1000,8.57,3823.28
65536,640,12.42,5275.02
131072,320,18.75,6988.85
262144,160,31.99,8195.28
524288,80,54.30,9655.95
1048576,40,98.72,10621.19
2097152,20,182.31,11503.44
4194304,10,354.51,11831.21
8388608,5,695.29,12064.84
16777216,2,1381.35,12145.53
33554432,1,2759.42,12159.95
67108864,1,5516.72,12164.62
134217728,1,11025.88,12172.97
268435456,1,24093.17,11141.56
