#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.92,0.00
1,1000,15.90,0.06
2,1000,15.87,0.13
4,1000,15.84,0.25
8,1000,15.85,0.50
16,1000,15.89,1.01
32,1000,15.90,2.01
64,1000,15.91,4.02
128,1000,16.50,7.76
256,1000,16.63,15.40
512,1000,16.88,30.32
1024,1000,17.38,58.92
2048,1000,38.61,53.04
4096,1000,39.12,104.71
8192,1000,39.79,205.90
16384,1000,41.80,391.96
32768,1000,48.45,676.39
65536,640,148.49,441.36
131072,320,159.28,822.91
262144,160,192.90,1359.00
524288,80,276.57,1895.65
1048576,40,459.38,2282.60
2097152,20,821.05,2554.22
4194304,10,1532.28,2737.30
8388608,5,2980.86,2814.16
16777216,2,5854.03,2865.93
33554432,1,12272.22,2734.18
67108864,1,24950.20,2689.71
134217728,1,45796.95,2930.71
268435456,1,135346.56,1983.32
