#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,0.99,2.01
4,1000,0.99,4.04
8,1000,0.99,8.11
16,1000,0.99,16.19
32,1000,1.01,31.60
64,1000,1.18,54.12
128,1000,1.23,104.15
256,1000,1.45,176.85
512,1000,1.51,338.15
1024,1000,1.68,610.52
2048,1000,2.35,872.18
4096,1000,3.19,1283.84
8192,1000,4.49,1824.99
16384,1000,6.28,2610.00
32768,1000,8.46,3873.12
65536,640,12.39,5288.37
131072,320,18.72,7000.86
262144,160,32.76,8002.49
524288,80,53.97,9714.44
1048576,40,97.35,10771.56
2097152,20,182.32,11502.75
4194304,10,352.54,11897.54
8388608,5,693.16,12102.04
16777216,2,1380.41,12153.83
33554432,1,2756.50,12172.83
67108864,1,5524.07,12148.45
134217728,1,11016.51,12183.33
268435456,1,22060.79,12167.99
