#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.01
4,1000,0.99,4.02
8,1000,0.99,8.08
16,1000,0.99,16.10
32,1000,1.01,31.66
64,1000,1.16,54.96
128,1000,1.22,105.26
256,1000,2.86,89.38
512,1000,1.51,338.08
1024,1000,1.67,611.50
2048,1000,2.33,878.53
4096,1000,3.19,1284.08
8192,1000,4.46,1836.80
16384,1000,6.24,2624.77
32768,1000,8.45,3876.45
65536,640,12.36,5303.62
131072,320,18.67,7019.44
262144,160,31.94,8207.76
524288,80,54.11,9690.14
1048576,40,96.87,10824.91
2097152,20,182.28,11505.23
4194304,10,352.78,11889.21
8388608,5,693.09,12103.27
16777216,2,1380.71,12151.17
33554432,1,2760.87,12153.56
67108864,1,5526.39,12143.34
134217728,1,11025.69,12173.18
268435456,1,22067.80,12164.12
