#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.98,1.02
2,1000,1.00,1.99
4,1000,1.00,4.01
8,1000,0.99,8.07
16,1000,0.99,16.14
32,1000,1.01,31.65
64,1000,1.17,54.66
128,1000,1.22,105.20
256,1000,1.44,177.51
512,1000,1.51,338.43
1024,1000,1.67,612.51
2048,1000,2.32,881.29
4096,1000,3.19,1285.88
8192,1000,4.46,1837.36
16384,1000,6.26,2616.50
32768,1000,8.47,3868.11
65536,640,12.41,5280.14
131072,320,18.71,7006.13
262144,160,31.99,8194.70
524288,80,54.29,9656.79
1048576,40,98.18,10679.68
2097152,20,182.26,11506.50
4194304,10,353.41,11868.19
8388608,5,693.74,12091.94
16777216,2,1383.23,12129.02
33554432,1,2760.05,12157.17
67108864,1,5514.83,12168.80
134217728,1,11030.77,12167.58
268435456,1,22072.38,12161.60
