#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.97,0.00
1,1000,8.04,0.12
2,1000,8.07,0.25
4,1000,8.05,0.50
8,1000,8.04,0.99
16,1000,8.07,1.98
32,1000,8.07,3.96
64,1000,8.08,7.92
128,1000,8.41,15.21
256,1000,8.45,30.31
512,1000,8.49,60.33
1024,1000,9.63,106.35
2048,1000,9.10,224.99
4096,1000,10.96,373.72
8192,1000,11.58,707.70
16384,1000,15.51,1056.37
32768,1000,25.89,1265.80
65536,640,56.98,1150.10
131072,320,80.17,1634.91
262144,160,122.09,2147.17
524288,80,199.06,2633.76
1048576,40,330.14,3176.17
2097152,20,616.47,3401.89
4194304,10,1213.66,3455.92
8388608,5,2414.91,3473.67
16777216,2,4989.63,3362.42
33554432,1,10299.45,3257.89
67108864,1,20071.41,3343.50
134217728,1,40134.35,3344.21
268435456,1,80202.16,3346.99
