#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.00
1,1000,0.62,1.61
2,1000,0.62,3.21
4,1000,0.62,6.42
8,1000,0.62,12.85
16,1000,0.66,24.17
32,1000,0.73,44.02
64,1000,0.94,67.98
128,1000,1.05,121.75
256,1000,1.21,210.91
512,1000,1.19,429.95
1024,1000,1.47,694.61
2048,1000,2.03,1010.52
4096,1000,2.78,1474.65
8192,1000,3.33,2458.69
16384,1000,3.65,4489.47
32768,1000,5.13,6381.49
65536,640,6.52,10046.96
131072,320,11.42,11482.40
262144,160,19.53,13420.74
524288,80,38.88,13483.26
1048576,40,92.38,11351.02
2097152,20,226.47,9260.36
4194304,10,457.02,9177.48
8388608,5,1245.34,6736.02
16777216,2,3707.35,4525.39
33554432,1,8278.68,4053.12
67108864,1,16879.86,3975.68
134217728,1,33795.20,3971.50
268435456,1,67211.61,3993.89
