#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.55
2,1000,0.39,5.10
4,1000,0.39,10.20
8,1000,0.39,20.52
16,1000,0.39,40.99
32,1000,0.56,56.89
64,1000,0.60,107.07
128,1000,0.89,144.47
256,1000,0.91,280.13
512,1000,1.16,442.05
1024,1000,1.31,782.03
2048,1000,2.08,983.38
4096,1000,2.96,1384.52
8192,1000,4.92,1664.18
16384,1000,7.79,2104.23
32768,1000,13.91,2355.31
65536,640,25.50,2569.78
131072,320,48.15,2722.32
262144,160,15.18,17270.09
524288,80,27.29,19214.45
1048576,40,56.68,18499.31
2097152,20,148.57,14115.81
4194304,10,319.07,13145.57
8388608,5,811.23,10340.66
16777216,2,2412.34,6954.74
33554432,1,5696.67,5890.18
67108864,1,11777.11,5698.25
134217728,1,23685.78,5666.60
268435456,1,47182.69,5689.28
