#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.51
2,1000,0.40,5.06
4,1000,0.40,10.09
8,1000,0.40,20.15
16,1000,0.40,40.34
32,1000,0.56,57.33
64,1000,0.55,116.61
128,1000,0.87,147.05
256,1000,0.91,281.45
512,1000,1.13,452.85
1024,1000,1.37,746.86
2048,1000,2.09,980.46
4096,1000,3.03,1351.04
8192,1000,4.88,1678.24
16384,1000,7.82,2095.66
32768,1000,13.68,2394.82
65536,640,25.38,2581.79
131072,320,48.41,2707.69
262144,160,13.82,18968.55
524288,80,24.53,21375.83
1048576,40,53.40,19634.59
2097152,20,141.92,14776.54
4194304,10,308.37,13601.70
8388608,5,621.17,13504.43
16777216,2,1861.41,9013.16
33554432,1,5439.49,6168.67
67108864,1,11552.91,5808.83
134217728,1,23883.97,5619.57
268435456,1,46897.44,5723.88
