#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.56
2,1000,0.39,5.11
4,1000,0.39,10.16
8,1000,0.39,20.55
16,1000,0.39,40.78
32,1000,0.56,56.70
64,1000,0.55,115.84
128,1000,0.88,146.01
256,1000,0.94,272.45
512,1000,1.16,439.71
1024,1000,1.35,756.18
2048,1000,2.11,969.18
4096,1000,3.09,1326.09
8192,1000,4.97,1649.18
16384,1000,7.89,2076.36
32768,1000,13.79,2376.65
65536,640,25.72,2547.70
131072,320,48.57,2698.55
262144,160,14.65,17888.70
524288,80,26.19,20015.48
1048576,40,55.52,18887.80
2097152,20,145.98,14366.38
4194304,10,308.49,13596.37
8388608,5,695.27,12065.33
16777216,2,2246.04,7469.68
33554432,1,5820.49,5764.88
67108864,1,11834.26,5670.73
134217728,1,23858.14,5625.66
268435456,1,47416.68,5661.20
