#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.34,0.00
1,1000,8.37,0.12
2,1000,8.37,0.24
4,1000,8.40,0.48
8,1000,8.47,0.94
16,1000,8.42,1.90
32,1000,8.43,3.79
64,1000,8.36,7.66
128,1000,8.76,14.61
256,1000,8.80,29.08
512,1000,8.86,57.78
1024,1000,9.76,104.88
2048,1000,9.44,216.93
4096,1000,11.13,368.10
8192,1000,11.93,686.83
16384,1000,15.90,1030.47
32768,1000,25.74,1273.19
65536,640,57.15,1146.74
131072,320,78.25,1675.05
262144,160,112.69,2326.30
524288,80,173.20,3027.05
1048576,40,301.41,3478.92
2097152,20,599.64,3497.35
4194304,10,1199.23,3497.50
8388608,5,2436.72,3442.59
16777216,2,5055.98,3318.29
33554432,1,10205.43,3287.90
67108864,1,20439.14,3283.35
134217728,1,42398.43,3165.63
268435456,1,81119.73,3309.13
