#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.57,1.75
2,1000,0.57,3.52
4,1000,0.57,7.05
8,1000,0.59,13.63
16,1000,0.64,25.12
32,1000,0.69,46.53
64,1000,0.84,76.15
128,1000,0.99,128.84
256,1000,1.16,220.25
512,1000,1.23,417.34
1024,1000,1.37,746.21
2048,1000,1.82,1125.05
4096,1000,2.90,1413.32
8192,1000,3.36,2439.20
16384,1000,3.51,4665.34
32768,1000,4.94,6634.42
65536,640,6.40,10235.64
131072,320,10.93,11988.06
262144,160,19.53,13423.32
524288,80,39.21,13370.61
1048576,40,96.98,10812.09
2097152,20,236.03,8885.30
4194304,10,407.04,10304.30
8388608,5,1061.85,7899.98
16777216,2,3697.49,4537.46
33554432,1,8468.70,3962.17
67108864,1,16910.61,3968.45
134217728,1,33833.25,3967.04
268435456,1,67246.50,3991.81
