#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.39,2.55
2,1000,0.40,5.03
4,1000,0.39,10.19
8,1000,0.39,20.43
16,1000,0.39,40.54
32,1000,0.55,57.76
64,1000,0.55,116.86
128,1000,0.90,142.89
256,1000,0.94,273.28
512,1000,1.12,457.93
1024,1000,1.34,762.03
2048,1000,2.08,983.47
4096,1000,2.97,1377.05
8192,1000,4.79,1709.82
16384,1000,7.34,2232.28
32768,1000,13.79,2376.20
65536,640,25.90,2530.61
131072,320,48.68,2692.33
262144,160,14.48,18101.20
524288,80,25.78,20335.46
1048576,40,55.69,18828.00
2097152,20,154.82,13545.69
4194304,10,327.55,12805.05
8388608,5,689.03,12174.55
16777216,2,2355.93,7121.27
33554432,1,5880.81,5705.75
67108864,1,15039.72,4462.11
134217728,1,24014.28,5589.08
268435456,1,48045.94,5587.06
