#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.54
2,1000,0.40,5.06
4,1000,0.40,10.09
8,1000,0.40,20.14
16,1000,0.39,40.72
32,1000,0.56,56.95
64,1000,0.56,114.25
128,1000,0.86,149.36
256,1000,0.91,280.88
512,1000,1.09,470.95
1024,1000,1.28,799.95
2048,1000,2.09,980.14
4096,1000,2.97,1378.51
8192,1000,4.80,1705.62
16384,1000,7.33,2235.80
32768,1000,12.96,2528.96
65536,640,24.48,2677.50
131072,320,45.28,2894.97
262144,160,13.18,19892.39
524288,80,23.22,22581.84
1048576,40,52.02,20156.40
2097152,20,143.40,14624.06
4194304,10,306.00,13706.94
8388608,5,796.33,10534.10
16777216,2,2419.84,6933.20
33554432,1,5841.39,5744.26
67108864,1,12166.60,5515.83
134217728,1,23728.01,5656.51
268435456,1,47275.02,5678.17
