#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.39,2.55
2,1000,0.39,5.09
4,1000,0.39,10.27
8,1000,0.40,19.81
16,1000,0.40,39.88
32,1000,0.56,57.40
64,1000,0.55,115.43
128,1000,0.88,146.25
256,1000,0.96,267.54
512,1000,1.12,456.73
1024,1000,1.32,775.44
2048,1000,2.10,976.19
4096,1000,2.98,1374.29
8192,1000,4.80,1707.64
16384,1000,7.19,2279.57
32768,1000,13.22,2479.00
65536,640,24.22,2705.69
131072,320,46.61,2812.09
262144,160,13.93,18812.41
524288,80,24.63,21287.01
1048576,40,53.26,19687.19
2097152,20,138.88,15100.06
4194304,10,293.58,14286.96
8388608,5,630.38,13307.26
16777216,2,1921.21,8732.63
33554432,1,5570.94,6023.11
67108864,1,11841.04,5667.48
134217728,1,23672.29,5669.82
268435456,1,47211.35,5685.83
