#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:06569] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:06569] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6450.25
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.21,0,0.26,0
1,1000,0.2,4.96,0.26,3.89
2,1000,0.2,10.21,0.26,7.77
4,1000,0.2,20.47,0.26,15.52
8,1000,0.2,40.91,0.26,30.97
16,1000,0.19,83.33,0.26,61.64
32,1000,0.22,143.79,0.26,122.11
64,1000,0.22,289.49,0.27,239.68
128,1000,0.31,416.8,0.28,462.18
256,1000,0.33,776.99,0.3,862.56
512,1000,0.38,1361.92,0.34,1521.63
1024,1000,0.5,2062.61,0.42,2462.38
2048,1000,0.74,2755.27,0.57,3564.15
4096,1000,1.12,3664.38,0.89,4591.32
8192,1000,1.87,4379.72,1.53,5364.3
16384,1000,2.98,5505.65,2.8,5857.37
32768,1000,4.83,6795.43,5.34,6139.53
65536,640,8.23,7964.27,10.42,6291.06
131072,320,14.78,8871.01,20.58,6369.66
262144,160,13.51,19460.69,40.9,6409.7
524288,80,25.86,20354.98,81.54,6429.91
1048576,40,61.2,17153.17,162.82,6440.06
2097152,20,143.05,14672.43,325.38,6445.15
4194304,10,320.72,13086.78,650.51,6447.7
8388608,5,889.45,9434.71,1300.77,6448.98
16777216,2,2298.55,7299.49,2601.27,6449.61
33554432,1,5209.25,6441.43,5202.29,6449.93
67108864,1,10448.53,6422.9,10404.33,6450.09
134217728,1,20856.62,6435.27,20808.4,6450.17
268435456,1,41636.41,6447.17,41616.54,6450.21
