#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl vader,self --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:32624] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:32624] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.26 bandwidth[Mbytes/sec] = 6446.84
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.2,0,0.26,0
1,1000,0.2,4.99,0.26,3.88
2,1000,0.19,10.33,0.26,7.76
4,1000,0.19,20.7,0.26,15.5
8,1000,0.19,41.34,0.26,30.93
16,1000,0.19,84.46,0.26,61.56
32,1000,0.22,142.24,0.26,121.96
64,1000,0.22,285.26,0.27,239.39
128,1000,0.31,412.31,0.28,461.65
256,1000,0.33,771.59,0.3,861.6
512,1000,0.39,1323.13,0.34,1520.05
1024,1000,0.49,2076.22,0.42,2460.05
2048,1000,0.74,2755.24,0.58,3561.19
4096,1000,1.12,3662.74,0.89,4588
8192,1000,1.88,4364.26,1.53,5360.86
16384,1000,2.99,5489.94,2.8,5853.91
32768,1000,4.84,6778.54,5.34,6136.08
65536,640,8.22,7974.92,10.42,6287.62
131072,320,14.86,8825.05,20.59,6366.23
262144,160,13.57,19377.34,40.92,6406.28
524288,80,26.26,20035.42,81.58,6426.49
1048576,40,61.42,17092.82,162.91,6436.65
2097152,20,143.76,14597.58,325.56,6441.74
4194304,10,321,13077.25,650.86,6444.29
8388608,5,888.27,9446.18,1301.46,6445.56
16777216,2,2297.94,7301.32,2602.65,6446.2
33554432,1,5228.65,6417.65,5205.05,6446.52
67108864,1,10442.88,6426.34,10409.84,6446.68
134217728,1,20888.13,6425.58,20819.42,6446.76
268435456,1,41663.42,6442.98,41638.58,6446.8
