#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl vader,self --mca btl_tcp_if_include br0 --map-by core -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:09428] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode007:09428] MCW rank 1 bound to socket 0[core 1[hwt 0]]: [./B/./././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 0.41 bandwidth[Mbytes/sec] = 4502.22
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.25,0,0.41,0
1,1000,0.28,3.6,0.41,2.43
2,1000,0.28,7.2,0.41,4.86
4,1000,0.28,14.37,0.41,9.71
8,1000,0.28,28.74,0.41,19.37
16,1000,0.3,53.33,0.41,38.58
32,1000,0.3,107.09,0.42,76.51
64,1000,0.34,189.12,0.43,150.46
128,1000,0.39,331.8,0.44,291.18
256,1000,0.45,564.45,0.47,546.99
512,1000,0.61,836.34,0.52,975.46
1024,1000,0.7,1459.7,0.64,1603.5
2048,1000,0.87,2351.76,0.87,2364.77
4096,1000,1.77,2317.04,1.32,3100.84
8192,1000,2.09,3926.71,2.23,3672.38
16384,1000,2.67,6138.04,4.05,4045.18
32768,1000,3.78,8681.5,7.69,4261.48
65536,640,5.44,12073.4,14.97,4378.54
131072,320,10.23,12844.6,29.52,4439.52
262144,160,19.19,13668.97,58.64,4470.65
524288,80,40.14,13069.36,116.86,4486.38
1048576,40,97.89,10715.55,233.31,4494.28
2097152,20,213.42,9836.38,466.22,4498.25
4194304,10,490.25,8558,932.02,4500.23
8388608,5,1518.28,5525.3,1863.63,4501.22
16777216,2,3729.23,4498.88,3726.84,4501.72
33554432,1,7480.77,4485.46,7453.28,4501.97
67108864,1,14948.26,4489.43,14906.14,4502.09
134217728,1,29858.56,4495.12,29811.88,4502.16
268435456,1,59655.73,4499.75,59623.35,4502.19
