#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:19756] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:01313] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 26.85 bandwidth[Mbytes/sec] = 2665.53
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,16.16,0,26.85,0
1,1000,16.23,0.06,26.85,0.04
2,1000,16.23,0.12,26.85,0.07
4,1000,16.23,0.25,26.85,0.15
8,1000,16.23,0.49,26.85,0.3
16,1000,16.28,0.98,26.85,0.6
32,1000,16.33,1.96,26.86,1.19
64,1000,16.52,3.88,26.87,2.38
128,1000,16.98,7.54,26.89,4.76
256,1000,17,15.07,26.94,9.5
512,1000,17.37,29.51,27.04,18.94
1024,1000,17.85,57.4,27.23,37.6
2048,1000,171.62,51.56,27.62,74.16
4096,1000,39.79,102.96,28.38,144.31
8192,1000,40.94,200.14,29.92,273.79
16384,1000,43.34,378.69,32.99,496.58
32768,1000,52.42,626.65,39.14,837.2
65536,640,63.6,1031.75,51.43,1274.19
131072,320,117.49,1117.96,76.02,1724.18
262144,160,162.47,1621.06,125.19,2093.92
524288,80,243.69,2163.41,223.54,2345.4
1048576,40,394.77,2679.94,420.23,2495.24
2097152,20,786.99,2851.65,813.61,2577.57
4194304,10,1805.21,2799.7,1600.38,2620.81
8388608,5,3231.04,2625.26,3173.92,2642.98
16777216,2,6610.31,2564.25,6320.99,2654.21
33554432,1,13118.64,2583.36,12615.13,2659.86
67108864,1,25920.54,2614.68,25203.42,2662.69
134217728,1,51262.22,2644.18,50379.98,2664.11
268435456,1,101302.31,2678.59,100733.12,2664.82
