#header_line 1: mpirun --report-bindings --mca pml ob1 --mca btl tcp,self --mca btl_tcp_if_include br0 --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:29929] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:08687] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 18.98 bandwidth[Mbytes/sec] = 2393.66
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,16.89,0,18.98,0
1,1000,16.4,0.06,18.99,0.05
2,1000,16.31,0.12,18.99,0.11
4,1000,16.22,0.25,18.99,0.21
8,1000,16.23,0.49,18.99,0.42
16,1000,16.29,0.99,18.99,0.84
32,1000,16.55,1.96,19,1.68
64,1000,16.75,3.88,19.01,3.37
128,1000,17.22,7.52,19.04,6.72
256,1000,17.27,14.99,19.09,13.41
512,1000,18.35,29.41,19.2,26.67
1024,1000,18.43,56.97,19.41,52.75
2048,1000,41.08,51.59,19.84,103.22
4096,1000,40.69,102.2,20.7,197.91
8192,1000,41.43,199.66,22.41,365.6
16384,1000,43.76,379.39,25.83,634.31
32768,1000,50.61,648.95,32.67,1002.87
65536,640,150.43,436.04,46.36,1413.52
131072,320,155.66,846.38,73.74,1777.42
262144,160,205.04,1283.02,128.5,2040.02
524288,80,300.76,1752.01,238.02,2202.74
1048576,40,18955.85,2033.86,457.05,2294.24
2097152,20,889.64,2367.04,895.11,2342.9
4194304,10,1717.67,2461.87,1771.24,2368.01
8388608,5,3492.27,2438.03,3523.49,2380.77
16777216,2,6880.24,2476.04,7027.99,2387.2
33554432,1,13645.66,2496.49,14037,2390.43
67108864,1,27013.36,2520.79,28055.02,2392.04
134217728,1,54602.55,2511.66,56091.06,2392.85
268435456,1,111568.56,2504.85,112163.14,2393.26
