#header_line 1: mpirun --report-bindings --mca pml ucx --mca btl openib,self --mca btl_tcp_if_include br0 --map-by node -np 2 ./IMB-MPI1 PingPong
#header_line 2:
[ct1pt-tnode007:08294] MCW rank 0 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
[ct1pt-tnode008:16751] MCW rank 1 bound to socket 0[core 0[hwt 0]]: [B/././././././././././.][./././././././././././.]
#header_line 3: latency[usec] = 1.2 bandwidth[Mbytes/sec] = 12161.27
#header: 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed )
0,1000,0.99,0,1.2,0
1,1000,0.99,1.01,1.2,0.83
2,1000,1,2,1.2,1.67
4,1000,1,4,1.2,3.34
8,1000,0.99,8.06,1.2,6.67
16,1000,1,16.07,1.2,13.34
32,1000,1.02,31.5,1.2,26.64
64,1000,1.15,55.86,1.2,53.17
128,1000,1.2,107.09,1.21,105.88
256,1000,1.51,173.25,1.22,209.92
512,1000,1.51,339.86,1.24,412.72
1024,1000,1.67,614.73,1.28,798.35
2048,1000,2.33,879.05,1.37,1498.34
4096,1000,3.18,1287.7,1.54,2667.97
8192,1000,4.47,1834.78,1.87,4375.93
16384,1000,6.27,2611.81,2.55,6436.02
32768,1000,8.44,3883.39,3.89,8417.37
65536,640,12.27,5342.26,6.59,9948.76
131072,320,18.48,7093.77,11.98,10944.31
262144,160,32.06,8177.77,22.75,11520.74
524288,80,54.94,9548.65,44.31,11832.34
1048576,40,97.55,10750.05,87.42,11994.55
2097152,20,183.16,11450.5,173.64,12077.33
4194304,10,352.66,11893.26,346.09,12119.16
8388608,5,692.77,12108.78,690.98,12140.18
16777216,2,1382.16,12138.4,1380.76,12150.71
33554432,1,2760.26,12156.27,2760.32,12155.99
67108864,1,5523.88,12148.87,5519.44,12158.63
134217728,1,11032.92,12165.21,11037.69,12159.95
268435456,1,22076.25,12159.47,22074.18,12160.61
